Source,Target,Count,Year
Quavo,Travis Scott,16,2017
Huncho Jack,Quavo,13,2017
Huncho Jack,Travis Scott,13,2017
21 Savage,Metro Boomin,12,2017
Metro Boomin,Offset,10,2017
Future,Young Thug,10,2017
Big Sean,Metro Boomin,8,2017
21 Savage,Offset,7,2017
A Boogie Wit da Hoodie,Kodak Black,6,2017
Chance the Rapper,Lil Wayne,4,2017
A$AP Mob,A$AP Rocky,4,2017
Frank Ocean,"Tyler, The Creator",4,2017
Chance the Rapper,DJ Khaled,4,2017
Chance the Rapper,Justin Bieber,4,2017
A$AP Rocky,Playboi Carti,4,2017
Chris Brown,Gucci Mane,3,2017
A Boogie Wit da Hoodie,PnB Rock,3,2017
Future,Ty Dolla $ign,3,2017
PnB Rock,YFN Lucci,3,2017
Khalid,Lorde,3,2017
Khalid,Post Malone,3,2017
Khalid,SZA,3,2017
Lorde,Post Malone,3,2017
Lorde,SZA,3,2017
Post Malone,SZA,3,2017
Calvin Harris,Pharrell Williams,3,2017
Calvin Harris,Travis Scott,3,2017
DJ Khaled,Travis Scott,3,2017
A$AP Mob,Playboi Carti,3,2017
Nicki Minaj,Yo Gotti,3,2017
Gucci Mane,Migos,3,2017
Metro Boomin,Travis Scott,3,2017
Lil Uzi Vert,Quavo,3,2017
2 Chainz,Drake,3,2017
Lil Wayne,Ty Dolla $ign,3,2017
Future,The Weeknd,3,2017
Metro Boomin,NAV,3,2017
2 Chainz,Travis Scott,3,2017
2 Chainz,Jhené Aiko,3,2017
2 Chainz,Trey Songz,3,2017
2 Chainz,Ty Dolla $ign,3,2017
Jhené Aiko,Trey Songz,3,2017
Jhené Aiko,Ty Dolla $ign,3,2017
Trey Songz,Ty Dolla $ign,3,2017
A$AP Rocky,Lana Del Rey,3,2017
Chance the Rapper,Quavo,3,2017
DJ Khaled,Justin Bieber,3,2017
DJ Khaled,Lil Wayne,3,2017
DJ Khaled,Quavo,3,2017
Justin Bieber,Lil Wayne,3,2017
Justin Bieber,Quavo,3,2017
Lil Wayne,Quavo,3,2017
Lil Uzi Vert,Playboi Carti,3,2017
2 Chainz,Big Sean,3,2017
DJ Khaled,Migos,2,2017
Camila Cabello,Quavo,2,2017
Drake,Young Thug,2,2017
Lil Yachty,Quavo,2,2017
Ty Dolla $ign,YG,2,2017
DJ Khaled,Drake,2,2017
PnB Rock,Wiz Khalifa,2,2017
Daft Punk,The Weeknd,2,2017
J Balvin,Willy William,2,2017
2 Chainz,Gucci Mane,2,2017
Gucci Mane,Young Dolph,2,2017
A$AP Rocky,Cardi B,2,2017
A$AP Rocky,G-Eazy,2,2017
Cardi B,G-Eazy,2,2017
Beyoncé,DJ Khaled,2,2017
Beyoncé,JAY-Z,2,2017
DJ Khaled,JAY-Z,2,2017
G-Eazy,Halsey,2,2017
Maren Morris,Thomas Rhett,2,2017
Future,Lil Uzi Vert,2,2017
Big Sean,Calvin Harris,2,2017
Big Sean,Katy Perry,2,2017
Big Sean,Pharrell Williams,2,2017
Calvin Harris,Katy Perry,2,2017
Katy Perry,Pharrell Williams,2,2017
Gucci Mane,Rae Sremmurd,2,2017
Calvin Harris,DJ Khaled,2,2017
Calvin Harris,Jeremih,2,2017
DJ Khaled,Jeremih,2,2017
Jeremih,Travis Scott,2,2017
G-Eazy,Zoe Nash,2,2017
A$AP Mob,A$AP Twelvyy,2,2017
Charlie Puth,G-Eazy,2,2017
Maroon 5,SZA,2,2017
Lil Wayne,Nicki Minaj,2,2017
A Boogie Wit da Hoodie,Chris Brown,2,2017
A Boogie Wit da Hoodie,Yo Gotti,2,2017
Chris Brown,Kodak Black,2,2017
Chris Brown,Yo Gotti,2,2017
Kodak Black,Yo Gotti,2,2017
Drake,WizKid,2,2017
21 Savage,Big Sean,2,2017
Offset,Travis Scott,2,2017
Brent Faiyaz,GoldLink,2,2017
Brent Faiyaz,Shy Glizzy,2,2017
GoldLink,Shy Glizzy,2,2017
Drake,PARTYNEXTDOOR,2,2017
Macklemore,Skylar Grey,2,2017
Kesha,The Dap-Kings Horns,2,2017
Drake,Gucci Mane,2,2017
Drake,Future,2,2017
Miguel,Travis Scott,2,2017
Lil Wayne,The-Dream,2,2017
The-Dream,Ty Dolla $ign,2,2017
A$AP Mob,KEY!,2,2017
A$AP Rocky,KEY!,2,2017
Jonas Blue,William Singe,2,2017
21 Savage,Future,2,2017
Ty Dolla $ign,Wiz Khalifa,2,2017
Kodak Black,PnB Rock,2,2017
2 Chainz,Migos,2,2017
2 Chainz,Young Thug,2,2017
Future,Kendrick Lamar,2,2017
Post Malone,Quavo,2,2017
Lil Uzi Vert,NAV,2,2017
Lil Yachty,Macklemore,2,2017
Fifth Harmony,Gucci Mane,2,2017
Gucci Mane,The Weeknd,2,2017
Beyoncé,Eminem,2,2017
A$AP Rocky,"Tyler, The Creator",2,2017
Calvin Harris,Future,2,2017
Calvin Harris,Khalid,2,2017
Future,Khalid,2,2017
Kygo,The Night Game,2,2017
Mike WiLL Made-It,Nicki Minaj,2,2017
Grey,Hailee Steinfeld,2,2017
Grey,Zedd,2,2017
Hailee Steinfeld,Zedd,2,2017
Chris Brown,Future,2,2017
Big Sean,Jeremih,2,2017
Big Sean,Travis Scott,2,2017
Jon Bellion,Vice,2,2017
A$AP Mob,Frank Ocean,2,2017
A$AP Mob,Lil Uzi Vert,2,2017
A$AP Mob,Quavo,2,2017
A$AP Rocky,Frank Ocean,2,2017
A$AP Rocky,Lil Uzi Vert,2,2017
A$AP Rocky,Quavo,2,2017
Frank Ocean,Lil Uzi Vert,2,2017
Frank Ocean,Playboi Carti,2,2017
Frank Ocean,Quavo,2,2017
Playboi Carti,Quavo,2,2017
Quality Control,Quavo,2,2017
Calvin Harris,Frank Ocean,2,2017
Calvin Harris,Migos,2,2017
Frank Ocean,Migos,2,2017
N.E.R.D,Rihanna,2,2017
Drake,Rihanna,2,2017
Drake,Giggs,2,2017
Offset,Quavo,2,2017
Drake,Lil Wayne,2,2017
French Montana,Swae Lee,2,2017
Lana Del Rey,The Weeknd,2,2017
Shawn Hook,Vanessa Hudgens,2,2017
2 Chainz,Quavo,2,2017
Rex Orange County,"Tyler, The Creator",2,2017
Halsey,Lauren Jauregui,2,2017
Lil Uzi Vert,Oh Wonder,2,2017
21 Savage,Post Malone,2,2017
Alesso,Florida Georgia Line,2,2017
Alesso,Hailee Steinfeld,2,2017
Alesso,watt,2,2017
Florida Georgia Line,Hailee Steinfeld,2,2017
Florida Georgia Line,watt,2,2017
Hailee Steinfeld,watt,2,2017
21 Savage,Migos,2,2017
Chris Brown,Meek Mill,2,2017
Chris Brown,Ty Dolla $ign,2,2017
Meek Mill,Ty Dolla $ign,2,2017
SZA,Travis Scott,2,2017
G-Eazy,Marc E. Bassy,2,2017
Emily Warren,The Chainsmokers,2,2017
Frank Ocean,Steve Lacy,2,2017
Steve Lacy,"Tyler, The Creator",2,2017
Lana Del Rey,Playboi Carti,2,2017
Daddy Yankee,Luis Fonsi,2,2017
Katy Perry,Nicki Minaj,2,2017
Kendrick Lamar,Maroon 5,1,2017
Hailee Steinfeld,Machine Gun Kelly,1,2017
A$AP Ferg,A$AP Rocky,1,2017
A$AP Ferg,French Montana,1,2017
A$AP Ferg,ScHoolboy Q,1,2017
A$AP Ferg,Trinidad James,1,2017
A$AP Rocky,French Montana,1,2017
A$AP Rocky,ScHoolboy Q,1,2017
A$AP Rocky,Trinidad James,1,2017
French Montana,ScHoolboy Q,1,2017
French Montana,Trinidad James,1,2017
ScHoolboy Q,Trinidad James,1,2017
Chris Brown,Usher,1,2017
Gucci Mane,Usher,1,2017
Logic,Neil deGrasse Tyson,1,2017
Eartha Kitt,Henri Rene & His Orchestra,1,2017
Future,Swae Lee,1,2017
Swae Lee,Ty Dolla $ign,1,2017
Camila Cabello,Daddy Yankee,1,2017
Danny Brown,Gorillaz,1,2017
Danny Brown,Kelela,1,2017
Gorillaz,Kelela,1,2017
The Chainsmokers,XYLØ,1,2017
Calvin Harris,John Legend,1,2017
Calvin Harris,Snoop Dogg,1,2017
Calvin Harris,Takeoff,1,2017
John Legend,Snoop Dogg,1,2017
John Legend,Takeoff,1,2017
Snoop Dogg,Takeoff,1,2017
Lil Yachty,Stefflon Don,1,2017
Drake,Metro Boomin,1,2017
Drake,Offset,1,2017
Lil Uzi Vert,Migos,1,2017
Lil Yachty,NexXthursday,1,2017
NexXthursday,Quavo,1,2017
Big Sean,MadeinTYO,1,2017
Kirsty MacColl,The Pogues,1,2017
G-Eazy,Kehlani,1,2017
