ID,Label
1,5 Seconds of Summer
2,Post Malone
3,Bebe Rexha
4,J Balvin
5,Aloe Blacc
6,Dreamville
7,ILLENIUM
8,Lennon Stella
9,Eminem
10,Juice WRLD
11,Drax Project
12,Travis Scott
13,Bas
14,Travis Barker
15,DJ Snake
16,Brendon Urie
17,Ed Sheeran
18,Goodboys
19,Offset
20,Tyga
21,Billy Ray Cyrus
22,Lil Baby
23,Meek Mill
24,Migos
25,RANI
26,Gunna
27,A Boogie Wit da Hoodie
28,Europa
29,Jax Jones
30,Madison Beer
31,Lauv
32,Chris Brown
33,J. Cole
34,Billie Eilish
35,Disclosure
36,Drake
37,9lokknine
38,Bruno Mars
39,Chris Stapleton
40,Flume
41,EARTHGANG
42,JID
43,6ix9ine
44,Game of Thrones
45,SZA
46,The Weeknd
47,Mark Ronson
48,Burna Boy
49,Boy Matthews
50,Grey
51,Ozzy Osbourne
52,Beyoncé
53,PnB Rock
54,Trippie Redd
55,Roddy Ricch
56,Camila Cabello
57,Panic! At The Disco
58,ScHoolboy Q
59,Chance the Rapper
60,Y2K
61,Fall Out Boy
62,Macklemore
63,Imagine Dragons
64,Jon Z
65,Dan Caplen
66,Jess Glynne
67,Lil Tjay
68,Future
69,Halsey
70,Anne-Marie
71,Kehlani
72,DaBaby
73,Ant Clemons
74,Jack & Jack
75,James Bay
76,Basenji
77,Ariana Grande
78,Lana Del Rey
79,Machine Gun Kelly
80,Diplo
81,James Blake
82,Metro Boomin
83,Erika Sirola
84,Khalid
85,Headie One
86,HWLS
87,Kirsty MacColl
88,G-Eazy
89,Rich The Kid
90,Shawn Mendes
91,Matt Corby
92,A Touch Of Class
93,Mustard
94,NAV
95,CHVRCHES
96,Cardi B
97,Marshmello
98,YUNGBLUD
99,DJ Khaled
100,Hilltop Hoods
101,Montaigne
102,Kane Brown
103,21 Savage
104,Fred Hammond
105,MAX
106,Bad Bunny
107,Ecca Vandal
108,Jamie Foxx
109,Kendrick Lamar
110,Buddy
111,Guapdad 4000
112,Jace
113,Mez
114,Reese LAFLARE
