Id,Label
1,Gunna
2,5 Seconds of Summer
3,Travis Scott
4,Tyga
5,Lil Baby
6,Post Malone
7,Dreamville
8,Bebe Rexha
9,J Balvin
10,Aloe Blacc
11,J. Cole
12,ILLENIUM
13,Lennon Stella
14,A Boogie Wit da Hoodie
15,Eminem
16,Juice WRLD
17,Cardi B
18,DJ Snake
19,Ozuna
20,Bas
21,Travis Barker
22,Brendon Urie
23,EARTHGANG
24,Ed Sheeran
25,PnB Rock
26,Trippie Redd
27,Rich The Kid
28,Drake
29,DaBaby
30,Offset
31,Billy Ray Cyrus
32,Meek Mill
33,6ix9ine
34,Daddy Yankee
35,21 Savage
36,Migos
37,G-Eazy
38,RANI
39,Marshmello
40,Blueface
41,Diplo
42,LSD
43,Labrinth
44,Murda Beatz
45,Chris Brown
46,Buddy
47,Guapdad 4000
48,Billie Eilish
49,Gesaffelstein
50,Chance the Rapper
51,Disclosure
52,9lokknine
53,Bruno Mars
54,Chris Stapleton
55,JID
56,Game of Thrones
57,SZA
58,The Weeknd
59,KYLE
60,T-Pain
61,Bad Bunny
62,Burna Boy
63,Grey
64,Ozzy Osbourne
65,Roddy Ricch
66,Goodboys
67,Camila Cabello
68,Panic! At The Disco
69,ScHoolboy Q
70,Y2K
71,NAV
72,Fall Out Boy
73,Macklemore
74,Jon Z
75,Lil Tjay
76,Future
77,Halsey
78,Anne-Marie
79,Lil Wayne
80,Kehlani
81,DJ Khaled
82,Ant Clemons
83,Justin Bieber
84,Mustard
85,French Montana
86,Ariana Grande
87,Lana Del Rey
88,Machine Gun Kelly
89,Gucci Mane
90,James Blake
91,Metro Boomin
92,Erika Sirola
93,Eartha Kitt
94,Khalid
95,Katy Perry
96,Ty Dolla $ign
97,Kirsty MacColl
98,Shawn Mendes
99,PARTYNEXTDOOR
100,A Touch Of Class
101,CHVRCHES
102,YUNGBLUD
103,Brandy
104,Charlotte Cardin
105,Becky G
106,Duckwrth
107,Keke Palmer
108,League of Legends
109,SOYEON of (G)I-DLE
110,Thutmose
111,Ky-Mani Marley
112,Stefflon Don
113,Vybz Kartel
114,Yung Gravy
115,Kane Brown
116,Fred Hammond
117,Nicki Minaj
118,Anuel AA
119,KAROL G
120,MAX
121,Lil Pump
122,Kendrick Lamar
123,Lil Skies
124,Jace
125,Mez
126,Reese LAFLARE
127,Ski Mask The Slump God
128,DB Omerta
129,Kodak Black
130,2 Chainz
131,Skrillex
132,Kanye West
133,BTS
134,Lil Nas X
135,A$AP Rocky
136,Dynoro
137,Hit-Boy
138,Nipsey Hussle
139,Bing Crosby
140,John Scott Trotter & His Orchestra
141,Logic
142,Agnes
143,Avicii
144,BLACKPINK
145,London On Da Track
146,David Guetta
147,Calvin Harris
148,Selena Gomez
149,Tainy
150,ZAYN
151,Darell
152,Jay Critch
153,Dixie Chicks
154,Kygo
155,Lil Uzi Vert
156,Juicy J
157,Rae Sremmurd
158,Slim Jxmmi
159,Brooks
160,Big Sean
161,Maren Morris
162,Doe Boy
163,Ellie Goulding
164,"Bobby ""Boris"" Pickett"
165,Tory Lanez
166,Doja Cat
167,Summer Walker
168,Lauv
169,Brando
170,Anitta
171,Rita Ora
172,JP Saxe
173,Idina Menzel
174,Galantis
175,Daniel Caesar
176,B. Swanson Quartet
177,Kacey Musgraves
178,Childish Major
179,Cozz
180,Alesso
181,Chelsea Cutler
182,Ink
183,Ghostface Killah
184,Death Stranding: Timefall
185,Loud Luxury
186,Internet Money
187,Hailee Steinfeld
188,David Bowie
189,Lil Durk
190,Beyoncé
191,Childish Gambino
192,JAY-Z
193,The Chainsmokers
194,Bryson Tiller
195,Becky Hill
196,Evan Rachel Wood
197,AURORA
198,Michael Bublé
199,Jonas Blue
200,Dan + Shay
201,Kid Cudi
202,Brett Eldredge
203,Jessie Reyez
204,Quavo
205,Lloyd
206,Bradley Cooper
207,Quality Control
208,Afro Bros
209,Dimitri Vegas
210,Dimitri Vegas & Like Mike
211,Like Mike
212,Lil Duke
213,Bazzi
214,Captain Cuts
215,Felix Jaehn
216,Georgia Ku
217,Brent Faiyaz
218,Joyner Lucas
219,BIA
220,James Bay
221,Madison Beer
222,John Lennon
223,The Harlem Community Choir
224,The Plastic Ono Band
225,Megan Thee Stallion
226,Flipp Dinero
227,Felix Cartal
228,A$AP Ferg
229,John Legend
230,Blue Ivy
231,SAINt JHN
232,Mark Ronson
233,Avril Lavigne
234,6LACK
235,Lary Kidd
236,Black Eyed Peas
237,Mason Ramsey
238,John Mayer
239,50 Cent
240,John Williams
241,Jagged Edge
242,Jermaine Dupri
243,Clean Bandit
244,Skye
245,Julia Michaels
246,Maroon 5
247,Dave
248,Clipse
249,88-Keys
250,Mac Miller
251,Blake Shelton
252,Mitchell Ayres & His Orchestra
253,Perry Como
254,Jhené Aiko
255,Kyla
256,El Guincho
257,Empress Of
258,Drax Project
259,BlocBoy JB
260,Farruko
261,Bea Miller
262,88rising
263,Jackson Wang
264,Joji
265,Major Lazer
266,ILOVEMAKONNEN
267,Maluma
268,Swae Lee
269,Alan Walker
