Source ,Target,Type,Weight
1,15,undirected,27
2,325,undirected,24
1,6,undirected,22
3,308,undirected,15
1,9,undirected,12
4,1,undirected,11
5,9,undirected,10
4,5,undirected,10
6,9,undirected,9
4,6,undirected,9
1,5,undirected,9
7,41,undirected,8
8,74,undirected,8
6,5,undirected,8
1,67,undirected,7
6,67,undirected,7
6,15,undirected,6
4,9,undirected,6
9,15,undirected,6
10,326,undirected,5
5,67,undirected,5
9,67,undirected,5
4,67,undirected,5
11,26,undirected,4
12,29,undirected,4
13,327,undirected,4
14,284,undirected,4
11,94,undirected,3
15,94,undirected,3
16,328,undirected,3
17,18,undirected,3
17,329,undirected,3
18,329,undirected,3
19,20,undirected,3
19,21,undirected,3
19,330,undirected,3
20,21,undirected,3
20,330,undirected,3
21,330,undirected,3
22,154,undirected,3
23,2,undirected,3
23,325,undirected,3
24,327,undirected,3
25,327,undirected,3
11,331,undirected,3
26,9,undirected,3
27,75,undirected,3
7,74,undirected,3
2,74,undirected,3
18,332,undirected,3
28,182,undirected,3
29,119,undirected,3
30,333,undirected,3
31,32,undirected,3
31,33,undirected,3
31,34,undirected,3
31,16,undirected,3
32,33,undirected,3
32,34,undirected,3
32,16,undirected,3
33,34,undirected,3
33,16,undirected,3
34,16,undirected,3
35,29,undirected,3
36,308,undirected,3
37,334,undirected,2
38,11,undirected,2
39,16,undirected,2
40,335,undirected,2
41,284,undirected,2
42,336,undirected,2
43,264,undirected,2
44,337,undirected,2
45,338,undirected,2
46,47,undirected,2
46,49,undirected,2
47,49,undirected,2
48,15,undirected,2
1,339,undirected,2
15,339,undirected,2
49,267,undirected,2
50,202,undirected,2
51,52,undirected,2
51,29,undirected,2
52,29,undirected,2
53,29,undirected,2
54,22,undirected,2
54,55,undirected,2
54,154,undirected,2
22,55,undirected,2
55,154,undirected,2
56,71,undirected,2
57,340,undirected,2
11,15,undirected,2
26,15,undirected,2
58,330,undirected,2
59,308,undirected,2
6,339,undirected,2
60,147,undirected,2
61,6,undirected,2
61,56,undirected,2
6,56,undirected,2
62,247,undirected,2
63,12,undirected,2
64,341,undirected,2
65,66,undirected,2
65,338,undirected,2
66,338,undirected,2
11,61,undirected,2
67,342,undirected,2
46,343,undirected,2
35,344,undirected,2
68,81,undirected,2
69,345,undirected,2
70,346,undirected,2
71,347,undirected,2
13,348,undirected,2
72,335,undirected,2
27,7,undirected,2
27,73,undirected,2
27,2,undirected,2
27,74,undirected,2
27,325,undirected,2
7,73,undirected,2
7,2,undirected,2
7,75,undirected,2
7,325,undirected,2
73,2,undirected,2
73,74,undirected,2
73,75,undirected,2
73,325,undirected,2
2,75,undirected,2
74,75,undirected,2
74,325,undirected,2
75,325,undirected,2
76,2,undirected,2
76,325,undirected,2
71,349,undirected,2
77,64,undirected,2
63,29,undirected,2
63,119,undirected,2
78,350,undirected,2
79,351,undirected,2
80,139,undirected,2
81,352,undirected,2
22,82,undirected,2
22,19,undirected,2
82,19,undirected,2
83,353,undirected,2
55,199,undirected,2
1,94,undirected,2
84,354,undirected,2
22,85,undirected,2
22,199,undirected,2
85,199,undirected,2
86,50,undirected,2
50,355,undirected,2
40,356,undirected,2
87,357,undirected,2
40,358,undirected,2
88,359,undirected,2
1,70,undirected,2
70,15,undirected,2
89,360,undirected,2
90,361,undirected,2
91,362,undirected,2
6,94,undirected,2
92,21,undirected,2
36,93,undirected,2
93,308,undirected,2
94,363,undirected,2
95,96,undirected,2
95,97,undirected,2
95,364,undirected,2
96,97,undirected,2
96,364,undirected,2
97,364,undirected,2
55,365,undirected,2
38,366,undirected,2
98,109,undirected,2
99,308,undirected,2
50,367,undirected,2
100,368,undirected,2
101,369,undirected,2
55,209,undirected,2
102,58,undirected,1
97,159,undirected,1
6,370,undirected,1
9,370,undirected,1
7,8,undirected,1
41,8,undirected,1
103,371,undirected,1
104,105,undirected,1
104,106,undirected,1
104,107,undirected,1
104,372,undirected,1
105,106,undirected,1
105,107,undirected,1
105,372,undirected,1
106,107,undirected,1
106,372,undirected,1
107,372,undirected,1
11,373,undirected,1
94,373,undirected,1
108,359,undirected,1
109,374,undirected,1
61,110,undirected,1
61,67,undirected,1
110,67,undirected,1
111,112,undirected,1
111,375,undirected,1
112,375,undirected,1
13,24,undirected,1
113,199,undirected,1
114,69,undirected,1
65,376,undirected,1
15,67,undirected,1
32,40,undirected,1
49,377,undirected,1
115,378,undirected,1
80,44,undirected,1
80,337,undirected,1
116,83,undirected,1
117,118,undirected,1
117,379,undirected,1
118,379,undirected,1
119,94,undirected,1
40,16,undirected,1
40,328,undirected,1
11,70,undirected,1
26,70,undirected,1
10,120,undirected,1
10,308,undirected,1
120,308,undirected,1
48,1,undirected,1
121,231,undirected,1
35,380,undirected,1
122,381,undirected,1
123,50,undirected,1
123,202,undirected,1
124,382,undirected,1
125,126,undirected,1
125,383,undirected,1
126,383,undirected,1
51,53,undirected,1
51,12,undirected,1
51,384,undirected,1
52,53,undirected,1
52,12,undirected,1
52,384,undirected,1
53,12,undirected,1
53,384,undirected,1
12,384,undirected,1
29,384,undirected,1
25,13,undirected,1
127,128,undirected,1
127,66,undirected,1
128,66,undirected,1
22,32,undirected,1
22,129,undirected,1
22,328,undirected,1
32,129,undirected,1
32,328,undirected,1
129,328,undirected,1
130,65,undirected,1
130,385,undirected,1
65,385,undirected,1
33,50,undirected,1
33,202,undirected,1
19,121,undirected,1
131,3,undirected,1
131,308,undirected,1
132,133,undirected,1
132,386,undirected,1
133,386,undirected,1
48,327,undirected,1
134,77,undirected,1
102,387,undirected,1
135,29,undirected,1
136,388,undirected,1
137,389,undirected,1
138,390,undirected,1
1,12,undirected,1
12,15,undirected,1
139,377,undirected,1
123,391,undirected,1
62,89,undirected,1
140,33,undirected,1
141,142,undirected,1
141,66,undirected,1
141,89,undirected,1
142,66,undirected,1
142,89,undirected,1
66,89,undirected,1
143,281,undirected,1
144,392,undirected,1
145,393,undirected,1
64,147,undirected,1
112,394,undirected,1
99,146,undirected,1
99,395,undirected,1
146,395,undirected,1
92,60,undirected,1
92,147,undirected,1
92,328,undirected,1
60,328,undirected,1
147,328,undirected,1
113,16,undirected,1
113,328,undirected,1
148,396,undirected,1
149,397,undirected,1
150,398,undirected,1
151,64,undirected,1
40,224,undirected,1
152,81,undirected,1
153,22,undirected,1
153,154,undirected,1
153,335,undirected,1
22,335,undirected,1
154,335,undirected,1
38,155,undirected,1
38,70,undirected,1
155,70,undirected,1
156,44,undirected,1
156,154,undirected,1
156,399,undirected,1
44,154,undirected,1
44,399,undirected,1
154,399,undirected,1
39,44,undirected,1
39,400,undirected,1
44,400,undirected,1
157,401,undirected,1
158,159,undirected,1
158,402,undirected,1
159,402,undirected,1
25,160,undirected,1
160,327,undirected,1
161,247,undirected,1
40,403,undirected,1
90,404,undirected,1
162,375,undirected,1
163,139,undirected,1
144,109,undirected,1
164,87,undirected,1
164,165,undirected,1
164,405,undirected,1
87,165,undirected,1
87,405,undirected,1
165,405,undirected,1
41,74,undirected,1
4,15,undirected,1
48,26,undirected,1
48,70,undirected,1
90,406,undirected,1
35,407,undirected,1
148,16,undirected,1
166,30,undirected,1
166,167,undirected,1
166,408,undirected,1
30,167,undirected,1
30,408,undirected,1
167,408,undirected,1
168,231,undirected,1
53,359,undirected,1
139,402,undirected,1
169,57,undirected,1
169,6,undirected,1
57,6,undirected,1
72,170,undirected,1
72,171,undirected,1
170,171,undirected,1
170,335,undirected,1
171,335,undirected,1
172,109,undirected,1
173,409,undirected,1
39,50,undirected,1
39,328,undirected,1
50,16,undirected,1
50,328,undirected,1
135,94,undirected,1
21,16,undirected,1
174,410,undirected,1
158,49,undirected,1
175,338,undirected,1
176,411,undirected,1
102,412,undirected,1
2,413,undirected,1
177,178,undirected,1
177,339,undirected,1
178,339,undirected,1
114,179,undirected,1
114,354,undirected,1
179,354,undirected,1
41,414,undirected,1
180,181,undirected,1
180,415,undirected,1
181,415,undirected,1
81,75,undirected,1
145,1,undirected,1
145,15,undirected,1
28,183,undirected,1
28,416,undirected,1
182,183,undirected,1
182,416,undirected,1
183,416,undirected,1
66,184,undirected,1
66,185,undirected,1
66,417,undirected,1
184,185,undirected,1
184,417,undirected,1
185,417,undirected,1
139,418,undirected,1
38,90,undirected,1
186,363,undirected,1
187,419,undirected,1
188,420,undirected,1
189,421,undirected,1
190,44,undirected,1
88,380,undirected,1
191,303,undirected,1
192,246,undirected,1
35,135,undirected,1
69,332,undirected,1
193,422,undirected,1
194,233,undirected,1
14,137,undirected,1
6,71,undirected,1
194,168,undirected,1
195,254,undirected,1
39,335,undirected,1
80,265,undirected,1
196,410,undirected,1
197,64,undirected,1
198,109,undirected,1
47,199,undirected,1
47,209,undirected,1
199,209,undirected,1
112,423,undirected,1
200,424,undirected,1
201,347,undirected,1
202,425,undirected,1
203,204,undirected,1
203,308,undirected,1
204,308,undirected,1
205,30,undirected,1
206,426,undirected,1
207,427,undirected,1
208,428,undirected,1
50,209,undirected,1
50,224,undirected,1
209,224,undirected,1
210,211,undirected,1
210,429,undirected,1
211,429,undirected,1
39,159,undirected,1
212,69,undirected,1
213,430,undirected,1
214,209,undirected,1
215,32,undirected,1
