Id,Label
1,Bonez MC
2,KC Rebell
3,Savas
4,187 Strassenbande
5,LX
6,Gzuz
7,Farid Bang
8,Kurdo
9,Maxwell
10,Fler
11,Capital Bra
12,Hanybal
13,Miami Yacine
14,Kianush
15,RAF Camora
16,Quavo
17,Demi Lovato
18,Jax Jones
19,Khalid
20,Lorde
21,Post Malone
22,Calvin Harris
23,Hamza
24,Nash
25,Azet
26,Joshi Mizu
27,18 Karat
28,Mary Man
29,Nimo
30,Matoma
31,Chance the Rapper
32,DJ Khaled
33,Justin Bieber
34,Lil Wayne
35,Capo
36,Kool Savas
37,Burak Yeter
38,AK Ausserkontrolle
39,Camila Cabello
40,Drake
41,Kollegah
42,Daft Punk
43,Bosse
44,J Balvin
45,HUGEL
46,A$AP Rocky
47,Cardi B
48,Bausa
49,G-Eazy
50,Major Lazer
51,Abdi
52,Celo
53,Dardan
54,Big Sean
55,Katy Perry
56,KALIM
57,Gentleman
58,Maroon 5
59,Amanda
60,Metro Boomin
61,Gringo
62,ALMA
63,Celo & Abdi
64,Macklemore
65,Cheat Codes
66,David Guetta
67,Sa4
68,Eunique
69,Jonas Blue
70,Kontra K
71,Luciano
72,2 Chainz
73,Jasko
74,Majoe
75,Play69
76,Adel Tawil
77,Lil Yachty
78,Loote
79,Axwell /\ Ingrosso
80,Beyoncé
81,Mert
82,Future
83,Kygo
84,Jon Bellion
85,Frank Ocean
86,Kranium
87,Casper
88,Azzi Memo
89,French Montana
90,Bushido
91,Shawn Hook
92,21 Savage
93,Lakmann
94,Ufo361
95,Alesso
96,Florida Georgia Line
97,Hailee Steinfeld
98,Emily Warren
99,Marteria
100,Gestört aber GeiL
101,Daddy Yankee
102,Kendrick Lamar
103,Eartha Kitt
104,Film Symphony Orchestra
105,František Pavlíček
106,Karel Svoboda
107,Stepan Konicek
108,Ardian Bujupi
109,The Chainsmokers
110,Hasan.K
111,Adam Trigger
112,Felix Jaehn
113,Lil Uzi Vert
114,Jasmine Thompson
115,Mahmut Orhan
116,Justin Jesso
117,Alok
118,Bruno Martini
119,Olexesh
120,Mortel
121,Marshmello
122,James Hype
123,DJ Snake
124,CNCO
125,Descemer Bueno
126,Enrique Iglesias
127,Cedric Gervais
128,Chris Willis
129,Jeremih
130,CADE
131,Nico Santos
132,Daya
133,Gryffin
134,DRAM
135,Haftbefehl
136,Cash Cash
137,Moe Phoenix
138,Galantis
139,Eminem
140,BloodPop®
141,Afrojack
142,Charli XCX
143,Felix Snow
144,Coldplay
145,Azad
146,Miss Platnum
147,Offset
148,Liam Payne
149,Bengio
150,Nick Waterhouse
151,Eric Nally
152,Ekbi
153,Ariana Grande
154,Pharrell Williams
155,BTNG
156,BIA
157,Labrinth
158,Bebe Rexha
159,Machine Gun Kelly
160,Noizy
161,Ina Wroldsen
162,Andrelli
163,Alicia Keys
164,Blixa Bargeld
165,Dagobert
166,Faith Evans
167,Snoop Dogg
168,Gucci Mane
169,Beginner
170,PnB Rock
171,Wiz Khalifa
172,ROZES
173,Clara Mae
174,Ella Eyre
175,Francesco Yates
176,Avicii
177,Haiyti
178,Joey Bargeld
179,Skizzy Mars
180,Flux Pavilion
181,MAX
182,TJ_beastboy
183,Young Kira
184,Jamie Scott
185,Martin Garrix
186,RIN
187,Lost Frequencies
188,Kay One
189,Zay Hilfigerrr
190,Anitta
191,Casso
192,Alan Walker
193,Cro
194,Fifth Harmony
195,JAY-Z
196,Digital Farm Animals
197,Kesha
198,Louane
199,Migos
200,Dyo
201,Torro West
202,MØ
203,Adesse
204,Estikay
205,Becky Hill
206,Mark Forster
207,Taylor Swift
208,Olivia O'Brien
209,Nicki Minaj
210,Fetty Wap
211,Mark Morrison
212,JP Cooper
213,Alle Farben
214,Nick Jonas
215,Bryson Tiller
216,Gavin James
217,CMC$
218,DVBBS
219,Broiler
220,Dua Lipa
221,Mitchell Ayres & His Orchestra
222,Perry Como
223,Anstandslos & Durchgeknallt
224,PARTYNEXTDOOR
225,Ryan Riback
226,Elias
227,Aloe Blacc
228,Stargate
229,A R I Z O N A
230,Cashmere Cat
231,Selena Gomez
232,MOTi
233,Ty Dolla $ign
234,Eric Saade
235,Filatov & Karas
236,Wale
237,NOTD
238,Black Coffee
239,Namika
240,LissA
241,Alex Aiono
242,Ace Tee
243,Glasperlenspiel
244,Lil Kleine
245,P!nk
246,Sia
247,Martin Solveig
248,Jason Derulo
249,Grey
250,John Lennon
251,The Harlem Community Choir
252,The Plastic Ono Band
253,Ephemerals
254,Linkin Park
255,Pusha T
256,Alessia Cara
257,James Arthur
258,Mike Posner
259,Lana Del Rey
260,Kerstin Ott
261,Clean Bandit
262,Anne-Marie
263,Juliander
264,Prinz Pi
265,Ed Sheeran
266,Blake Shelton
267,Halsey
268,Deb’s Daughter
269,Dimitri Vegas & Like Mike
270,John Williams
271,John Travolta
272,Axel Ehnström
273,Trippie Redd
274,Dimitri Vegas
275,Bill Pinkney
276,Clyde McPhatter
277,Phoebe Ryan
278,Louis Tomlinson
279,Poo Bear
280,Akon
281,Kiiara
282,Ali As
283,Jacob Banks
284,PA Sports
285,GReeeN
286,Bright Sparks
287,Dany Synthé
288,Maître Gims
289,Fuse ODG
290,Nause
291,Kato
292,Tinie Tempah
293,Michael Bublé
294,Katja Krasavice
295,Macloud
296,Dakota
297,Cookin' On 3 Burners
298,James Blunt
299,Imagine Dragons
300,Logic
301,99 Percent
302,Ali Bumaye
303,Mike Perry
304,IRO
305,Nadia Ali
306,KYLE
307,Ahzumjot
308,Sido
309,Maluma
310,Kyla
311,Jamie N Commons
312,Lakman
313,Max B
314,Chris Cronauer
315,N.E.R.D
316,AlunaGeorge
317,Charlie Puth
318,OneRepublic
319,Jan Böhmermann
320,Charity Children
321,Little Rose
322,Bakermat
323,Chris Brown
324,Ellie Goulding
325,Summer Cem
326,Jalil
327,Zuna
328,Travis Scott
329,Stefflon Don
330,SZA
331,King Khalil
332,RAYE
333,The Vamps
334,Danelle Sandoval
335,Young Thug
336,The Weeknd
337,Willy William
338,Robin Schulz
339,Trettmann
340,Michael Patrick Kelly
341,Skylar Grey
342,Soni
343,Mura Masa
344,Tommy
345,William Singe
346,Rico
347,Veysel
348,Paramocro
349,Nikky Santoro
350,Martin Jensen
351,Kid Ink
352,Soolking
353,The Night Game
354,Vice
355,WizKid
356,Rihanna
357,Drangsal
358,Giggs
359,Eno
360,Swae Lee
361,M.O.030
362,Vanessa Hudgens
363,Yung Hurn
364,watt
365,Skip Marley
366,Fux Ausserkontrolle
367,Nyla
368,LEA
369,Luis Fonsi
370,Tory Lanez
371,Henri Rene & His Orchestra
372,Václav Vorlíček
373,XATAR
374,XYLØ
375,Hearts & Colors
376,Dante Klein
377,Kehlani
378,Sena Şener
379,Zeeba
380,Soufian
381,Kelli-Leigh
382,Little Mix
383,Zion & Lennox
384,Oster
385,Maggie Lindemann
386,ILLENIUM
387,U2
388,Conor Maynard
389,Mosh36
390,Hook N Sling
391,Lauv
392,Seeb
393,CALO
394,Mike Williams
395,Yasha
396,Zedd
397,Yvonne Catterfeld
398,Ofenbach
399,Sky
400,Pitbull
401,Noah Cyrus
402,X Ambassadors
403,Kanye West
404,Joka
405,Sizarr
406,Laas Unltd.
407,Manuellsen
408,The Notorious B.I.G.
409,KREAM
410,Sigala
411,Rita Ora
412,Zacari
413,Moé
414,MoTrip
415,Whethan
416,mokuba
417,Romy Dya
418,Pink
419,Netsky
420,Pietro Lombardi
421,Zayion McCall
422,Patrice
423,RHODES
424,NEIKED
425,Snakehips
426,Stefanie Kloß
427,ZAYN
428,gnash
429,Nevada
430,Younotus
431,Mark McCabe
432,Gia Koka
433,The Fontane Sisters
434,Billy Raffoul
435,Laurenz
436,Teutilla
437,Starley
438,Nate Dogg
439,Tiësto
440,Sean Paul
441,Sam Feldt
442,Gustaf Norén
443,Sampha
444,Stanaj
445,Jorja Smith
446,Sandro Cavazza
447,filous
448,Hight
449,Madizin
450,Phresher
451,Ronnie Flex
452,Tkay Maidza
453,blackbear
454,Troye Sivan
455,Yoko Ono
456,FRENSHIP
457,Kungs
458,Stormzy
459,Wyclef Jean
460,Rudimental
461,Zara Larsson
462,Stereoact
463,Julia Michaels
464,SDP
465,Gwen Stefani
466,Ivy Sole
467,Diplo
468,Mykola Dmytrovych Leontovych
469,Rae Sremmurd
470,Olivia Newton-John
471,Remoe
472,Janieck
473,XXXTENTACION
474,Haze
475,The Drifters
476,Steve Aoki
477,Skrillex
478,SXTN
479,Gary Washington
480,Marc E. Bassy
481,Seyed
482,SoFLY & Nius
483,Pretty Sister
484,Shania Twain
485,Stard Ova
486,Kris Kross Amsterdam
487,Oh Wonder
488,Flo Rida
489,Imany
490,SHY Martin
491,Sultan + Shepard
492,Samy Deluxe
493,Portugal. The Man
494,Shakira
495,Shindy
496,YONII
497,Jim Pandzko
498,SRTW
499,Kiesza
500,KitschKrieg
501,Slim Jxmmi
502,LSD
503,6ix9ine
504,Kelsea Ballerini
505,Edin
506,JURI
507,Drew Love
508,Nicky Jam
509,El Profesor
510,Aya Nakamura
511,Dopebwoy
512,Reda Rwena
513,Bad Bunny
514,Brooks
515,Chris Stapleton
