Id,Label,modularity_class,stat_inf_class,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks,Authority,Hub
Dalex,Dalex,2,21,0.496732,76,0.413724,7,0.270248,0.309441,592.40414,0,0.003757,0.125077,0.125077
Lenny Tavárez,Lenny Tavárez,2,62,0.390476,82,0.445652,7,0.27529,0.316018,1336.580495,0,0.004091,0.130626,0.130626
Bad Bunny,Bad Bunny,2,0,0.151515,85,0.698516,6,0.33002,0.377736,10903.610868,0,0.00647,0.192715,0.192715
J Balvin,J Balvin,2,116,0.084465,112,1,5,0.369094,0.424749,25838.700465,0,0.009308,0.231459,0.231459
Capital Bra,Capital Bra,1,29,0.218182,12,0.090875,4,0.486111,0.6,266.466667,1,0.004434,0,0
Samra,Samra,1,29,0.533333,8,0.052888,5,0.353535,0.451905,7,1,0.002975,0,0
Nicky Jam,Nicky Jam,2,132,0.251337,141,0.763743,6,0.30389,0.354644,4189.2705,0,0.005086,0.231264,0.231264
Sech,Sech,2,86,0.406926,94,0.518154,6,0.283518,0.322691,762.251833,0,0.004276,0.163864,0.163864
Anuel AA,Anuel AA,2,87,0.23545,89,0.650759,6,0.325012,0.369829,7324.557375,0,0.005515,0.188851,0.188851
Ozuna,Ozuna,2,45,0.204991,115,0.749932,6,0.324694,0.372716,6710.418791,0,0.007277,0.21655,0.21655
Justin Quiles,Justin Quiles,2,102,0.424837,65,0.409051,7,0.276091,0.315039,912.137671,0,0.003233,0.122946,0.122946
Farruko,Farruko,2,1,0.210227,111,0.718902,6,0.312324,0.363303,9632.391376,0,0.005226,0.204787,0.204787
Feid,Feid,2,14,0.742424,49,0.276373,7,0.239884,0.270457,12.53184,0,0.002027,0.089487,0.089487
Travis Scott,Travis Scott,17,130,0.156545,116,0.835896,7,0.345653,0.396475,9938.791379,0,0.008792,0.135064,0.135064
Young Thug,Young Thug,17,90,0.137931,56,0.602923,6,0.332499,0.378665,6550.365095,0,0.004481,0.092687,0.092687
KAROL G,KAROL G,2,13,0.618182,34,0.378039,6,0.313651,0.345557,783.788924,0,0.001487,0.115537,0.115537
Post Malone,Post Malone,17,2,0.164021,62,0.632923,7,0.341388,0.382344,5957.588749,0,0.005668,0.104595,0.104595
Swae Lee,Swae Lee,17,115,0.163399,25,0.373537,6,0.326772,0.361998,3861.621591,0,0.003864,0.058271,0.058271
Dreamville,Dreamville,8,17,0.527473,48,0.177107,8,0.238335,0.263578,973.517364,0,0.002151,0.004781,0.004781
J. Cole,J. Cole,8,17,0.257576,17,0.207971,7,0.276667,0.307964,3847.47178,0,0.002126,0.023008,0.023008
Gunna,Gunna,8,11,0.227273,15,0.248058,7,0.293805,0.324978,1168.401921,0,0.002607,0.037865,0.037865
Camilo,Camilo,10,12,0.333333,2,0.053407,7,0.224097,0.242861,10.611722,0,0.0011,0.011523,0.011523
Mau y Ricky,Mau y Ricky,10,12,0.333333,2,0.063171,7,0.226699,0.247956,89.023389,0,0.0012,0.014043,0.014043
Daddy Yankee,Daddy Yankee,2,3,0.175403,87,0.673423,6,0.32629,0.374372,9285.198083,0,0.00552,0.178922,0.178922
Zion,Zion,2,14,0.590476,62,0.376098,7,0.266453,0.30014,172.777479,0,0.001955,0.123191,0.123191
5 Seconds of Summer,5 Seconds of Summer,5,66,0,0,0.029971,7,0.238164,0.253281,122.678697,0,0.000829,0.001338,0.001338
The Chainsmokers,The Chainsmokers,5,66,0.026316,5,0.201607,6,0.291996,0.323996,8968.893779,0,0.006706,0.013627,0.013627
Tyga,Tyga,17,34,0.147059,20,0.364103,6,0.331668,0.364357,3308.883822,0,0.003106,0.063215,0.063215
Darell,Darell,2,32,0.4,48,0.367426,6,0.276897,0.310617,1021.159419,0,0.002613,0.113597,0.113597
DJ Luian,DJ Luian,2,128,0.5,60,0.421065,6,0.290464,0.32623,355.994486,0,0.002723,0.132426,0.132426
Mambo Kingz,Mambo Kingz,2,61,0.5,60,0.421065,6,0.290464,0.32623,355.994486,0,0.002723,0.132426,0.132426
Aloe Blacc,Aloe Blacc,3,66,0,0,0.011785,8,0.199639,0.209113,0,0,0.000669,0.000163,0.000163
Avicii,Avicii,3,66,0.018182,1,0.084087,7,0.249343,0.27045,5419.755924,0,0.004304,0.002616,0.002616
Young Nudy,Young Nudy,8,17,1,10,0.070393,8,0.218134,0.235782,0,0,0.0011,0.002256,0.002256
ILLENIUM,ILLENIUM,5,66,1,1,0.026939,7,0.227397,0.241459,0,0,0.000946,0.001015,0.001015
Lennon Stella,Lennon Stella,5,66,0.333333,2,0.049081,7,0.248503,0.266308,304.759062,0,0.001482,0.002621,0.002621
Bebe Rexha,Bebe Rexha,5,26,0.125,15,0.331332,6,0.34333,0.375226,10421.162668,0,0.002924,0.048872,0.048872
Europa,Europa,41,4,1,3,0.03055,7,0.227319,0.240046,0,0,0.001076,0.001211,0.001211
Jax Jones,Jax Jones,41,4,0.142857,4,0.086524,7,0.269371,0.289311,1474.751664,0,0.00222,0.006716,0.006716
Madison Beer,Madison Beer,41,4,0.321429,9,0.088724,7,0.260188,0.28054,2092.383319,0,0.001689,0.006692,0.006692
Martin Solveig,Martin Solveig,41,4,0.5,3,0.060638,7,0.260699,0.279658,359.323768,0,0.001176,0.005973,0.005973
Eminem,Eminem,6,106,0.045752,7,0.261848,7,0.307978,0.344417,6736.562693,0,0.004039,0.027967,0.027967
Logic,Logic,6,154,0.120635,76,0.534593,7,0.309413,0.360671,16103.275903,0,0.00572,0.047673,0.047673
Juice WRLD,Juice WRLD,12,84,0.058824,8,0.235109,7,0.303612,0.335833,4620.57652,0,0.003113,0.025612,0.025612
Lil Tecca,Lil Tecca,12,72,0.666667,2,0.047558,8,0.25,0.267816,29.523517,0,0.000697,0.00444,0.00444
Diplo,Diplo,28,27,0.116959,20,0.299431,6,0.323587,0.357204,5462.711902,0,0.004075,0.041986,0.041986
LSD,LSD,28,106,1,3,0.044638,6,0.257165,0.273343,0,0,0.001825,0.004156,0.004156
Labrinth,Labrinth,28,106,0.190476,4,0.118057,6,0.293416,0.317771,5998.975634,0,0.002246,0.012984,0.012984
Sia,Sia,28,106,0.142857,4,0.114091,6,0.283518,0.30738,1762.29241,0,0.002617,0.011576,0.011576
Rafa Pabön,Rafa Pabön,2,32,0.5,39,0.264404,7,0.239366,0.269829,103.397412,0,0.001542,0.07974,0.07974
Cardi B,Cardi B,4,83,0.12069,49,0.666209,6,0.365438,0.404995,13598.622819,0,0.00501,0.127762,0.127762
DJ Snake,DJ Snake,4,5,0.192982,33,0.431025,6,0.331503,0.367821,4279.472231,0,0.003185,0.088474,0.088474
Selena Gomez,Selena Gomez,4,54,0.166667,13,0.290323,6,0.324853,0.356476,4936.442393,0,0.002657,0.058748,0.058748
Bas,Bas,8,17,0.681818,45,0.154186,8,0.226931,0.24919,259.423699,0,0.001707,0.003036,0.003036
JID,JID,8,17,0.681818,45,0.154186,8,0.226931,0.24919,259.423699,0,0.001707,0.003036,0.003036
Travis Barker,Travis Barker,5,39,0.3,3,0.076207,6,0.271464,0.292118,274.417121,0,0.001104,0.007099,0.007099
YUNGBLUD,YUNGBLUD,5,39,0.3,3,0.060842,7,0.258769,0.277765,144.1509,0,0.001007,0.004511,0.004511
Agnes,Agnes,3,66,1,1,0.018469,8,0.199699,0.209866,0,0,0.001152,0.000174,0.000174
Vargas & Lagola,Vargas & Lagola,3,66,1,1,0.018469,8,0.199699,0.209866,0,0,0.001325,0.000174,0.000174
Brytiago,Brytiago,2,32,0.469697,31,0.280919,6,0.27102,0.301305,704.237233,0,0.00162,0.086728,0.086728
Brendon Urie,Brendon Urie,12,19,0.333333,2,0.052224,7,0.259071,0.276212,234.420496,0,0.001129,0.004873,0.004873
Taylor Swift,Taylor Swift,12,19,0.095238,2,0.107618,7,0.277824,0.302212,1532.637973,0,0.001707,0.012607,0.012607
Ed Sheeran,Ed Sheeran,6,101,0.068966,30,0.501348,6,0.339468,0.382706,11691.941286,0,0.005709,0.070009,0.070009
