Source,Target,Type,Id,Label,Weight,avg_streams,year
pop rap,rap,Undirected,5004,,870,55308209.383929,2017
rap,trap,Undirected,5005,,798,66061098.086957,2017
hip hop,rap,Undirected,5006,,733,58862715.67033,2017
pop rap,trap,Undirected,5007,,601,63798752.444444,2017
dance pop,pop,Undirected,5008,,640,131551792.391304,2017
pop,pop rap,Undirected,5009,,515,89798453.946903,2017
hip hop,pop rap,Undirected,5010,,526,60289895.213483,2017
pop,rap,Undirected,5011,,467,69650079.654867,2017
rap,rap,Undirected,5012,,592,58659712.373737,2017
hip hop,trap,Undirected,5013,,454,55057573.253333,2017
latin,reggaeton,Undirected,5014,,885,128144206.755102,2017
rap,southern hip hop,Undirected,5015,,449,48413675.833333,2017
pop,pop,Undirected,5016,,537,137270203.226891,2017
pop rap,pop rap,Undirected,5017,,342,61470230.595238,2017
dance pop,pop rap,Undirected,5018,,311,100121348.091954,2017
pop rap,southern hip hop,Undirected,5019,,337,57912841.315789,2017
hip hop,pop,Undirected,5020,,285,74042932.390244,2017
atl hip hop,rap,Undirected,5021,,334,68745912.873016,2017
pop,trap,Undirected,5022,,283,84981816.185714,2017
pop,post-teen pop,Undirected,5023,,471,149848818.729412,2017
pop,tropical house,Undirected,5024,,349,138845855.36,2017
southern hip hop,trap,Undirected,5025,,306,57660110.017544,2017
dance pop,rap,Undirected,5026,,246,78466057.108108,2017
latin,tropical,Undirected,5027,,442,128119600.809524,2017
atl hip hop,pop rap,Undirected,5028,,251,50331832.827586,2017
edm,pop,Undirected,5029,,304,126062362.75,2017
hip hop,southern hip hop,Undirected,5030,,267,41072546.966667,2017
reggaeton,tropical,Undirected,5031,,374,134988684.210526,2017
trap,trap,Undirected,5032,,284,57660110.017544,2017
melodic rap,rap,Undirected,5033,,280,84359835.511628,2017
latin,latin,Undirected,5034,,519,126196146.66,2017
atl hip hop,trap,Undirected,5035,,217,45636958.682927,2017
dance pop,tropical house,Undirected,5036,,247,143039982,2017
pop rap,post-teen pop,Undirected,5037,,218,113224356.439394,2017
pop,southern hip hop,Undirected,5038,,169,76635231.5,2017
atl hip hop,hip hop,Undirected,5039,,203,50119361.145833,2017
dance pop,post-teen pop,Undirected,5040,,298,154026040.761905,2017
hip hop,hip hop,Undirected,5041,,245,46171337.763636,2017
dance pop,trap,Undirected,5042,,161,97060720.807692,2017
latin,latin hip hop,Undirected,5043,,310,144592686.515152,2017
dance pop,edm,Undirected,5044,,219,131937352.22807,2017
dance pop,hip hop,Undirected,5045,,145,91671561.924528,2017
melodic rap,pop rap,Undirected,5046,,190,69815024.837209,2017
reggaeton,reggaeton,Undirected,5047,,373,97368157.833333,2017
dance pop,dance pop,Undirected,5048,,207,149752897.333333,2017
post-teen pop,rap,Undirected,5049,,168,93519484.345454,2017
latin,reggaeton flow,Undirected,5050,,348,109505049.625,2017
reggaeton,trap latino,Undirected,5051,,327,85171536.130435,2017
latin,trap latino,Undirected,5052,,367,83701009.590909,2017
reggaeton,reggaeton flow,Undirected,5053,,317,105325509.818182,2017
latin hip hop,reggaeton,Undirected,5054,,269,104814658.5,2017
atl hip hop,southern hip hop,Undirected,5055,,144,43135903.102564,2017
melodic rap,trap,Undirected,5056,,217,83957351.939394,2017
electropop,pop,Undirected,5057,,224,145717129.045455,2017
edm,post-teen pop,Undirected,5058,,157,150466525.92,2017
hip hop,post-teen pop,Undirected,5059,,114,102028954.906977,2017
atl hip hop,pop,Undirected,5060,,108,97793136.459459,2017
dance pop,southern hip hop,Undirected,5061,,96,76423937,2017
post-teen pop,tropical house,Undirected,5062,,172,161958573.645833,2017
electro house,pop,Undirected,5063,,116,102672549.534884,2017
hip hop,melodic rap,Undirected,5064,,130,74714386.724138,2017
trap latino,tropical,Undirected,5065,,181,94851526.111111,2017
post-teen pop,trap,Undirected,5066,,106,120466913.777778,2017
latin hip hop,tropical,Undirected,5067,,126,172474535.789474,2017
pop rap,tropical house,Undirected,5068,,86,108162725.6,2017
edm,tropical house,Undirected,5069,,120,118355595.814815,2017
edm,pop rap,Undirected,5070,,92,111136396.033333,2017
dance pop,electro house,Undirected,5071,,79,116810930.060606,2017
reggaeton flow,tropical,Undirected,5072,,155,104517406.466667,2017
pop,uk dance,Undirected,5073,,98,110718296.566667,2017
rap,urban contemporary,Undirected,5074,,78,69186434.230769,2017
melodic rap,southern hip hop,Undirected,5075,,98,54770998.769231,2017
melodic rap,pop,Undirected,5076,,91,106988784.181818,2017
reggaeton flow,trap latino,Undirected,5077,,164,88791236.071429,2017
pop rap,urban contemporary,Undirected,5078,,74,97129248.173913,2017
canadian pop,rap,Undirected,5079,,83,64068114,2017
r&b,rap,Undirected,5080,,86,57280424.521739,2017
canadian pop,pop rap,Undirected,5081,,69,78056780.409091,2017
latin,latin pop,Undirected,5082,,138,152674035.04,2017
latin hip hop,trap latino,Undirected,5083,,143,98018414.357143,2017
gangster rap,pop rap,Undirected,5084,,81,25917593.411765,2017
gangster rap,rap,Undirected,5085,,115,22164596.235294,2017
dirty south rap,pop rap,Undirected,5086,,71,76971174.391304,2017
hip hop,urban contemporary,Undirected,5087,,58,86062692.52,2017
atl hip hop,dance pop,Undirected,5088,,57,111491642.115385,2017
pop rap,r&b,Undirected,5089,,76,88583771.117647,2017
atl hip hop,melodic rap,Undirected,5090,,84,83026853.272727,2017
canadian pop,trap,Undirected,5091,,62,52477223.761905,2017
pop,urban contemporary,Undirected,5092,,64,127571946.263158,2017
tropical,tropical,Undirected,5093,,83,167229516.5,2017
hip hop,r&b,Undirected,5094,,62,59562222,2017
southern hip hop,southern hip hop,Undirected,5095,,74,37327321.448276,2017
house,pop,Undirected,5096,,66,67444155.809524,2017
dirty south rap,rap,Undirected,5097,,75,81485633.55,2017
dance pop,uk dance,Undirected,5098,,77,116215198.857143,2017
electro house,pop rap,Undirected,5099,,40,85266288.947368,2017
