Source,Target,Count,Year,Weight
Dalex,Lenny Tavárez,11,2019,11
Bad Bunny,J Balvin,10,2019,14
Capital Bra,Samra,10,2019,11
Nicky Jam,Sech,8,2019,8
Anuel AA,Ozuna,7,2019,9
Dalex,Sech,7,2019,7
Lenny Tavárez,Sech,7,2019,7
Dalex,Justin Quiles,7,2019,7
Justin Quiles,Lenny Tavárez,7,2019,7
Farruko,Sech,5,2019,5
Dalex,Feid,5,2019,5
Feid,Lenny Tavárez,5,2019,5
Feid,Sech,5,2019,5
Travis Scott,Young Thug,5,2019,7
Justin Quiles,Sech,5,2019,5
Farruko,Nicky Jam,5,2019,5
Anuel AA,KAROL G,4,2019,5
Post Malone,Swae Lee,4,2019,7
Dreamville,J. Cole,4,2019,4
Gunna,Young Thug,4,2019,5
Camilo,Mau y Ricky,4,2019,5
Anuel AA,Daddy Yankee,4,2019,7
Sech,Zion,4,2019,4
5 Seconds of Summer,The Chainsmokers,4,2019,4
J Balvin,Tyga,4,2019,4
Dalex,Farruko,4,2019,4
Farruko,Justin Quiles,4,2019,4
Farruko,Lenny Tavárez,4,2019,4
Darell,Nicky Jam,3,2019,4
Darell,Ozuna,3,2019,5
Nicky Jam,Ozuna,3,2019,5
Anuel AA,DJ Luian,3,2019,4
Anuel AA,Mambo Kingz,3,2019,4
DJ Luian,Mambo Kingz,3,2019,9
Aloe Blacc,Avicii,3,2019,3
Dreamville,Young Nudy,3,2019,3
J. Cole,Young Nudy,3,2019,3
ILLENIUM,Lennon Stella,3,2019,3
ILLENIUM,The Chainsmokers,3,2019,3
Lennon Stella,The Chainsmokers,3,2019,3
Bebe Rexha,The Chainsmokers,3,2019,3
Daddy Yankee,Ozuna,3,2019,6
Farruko,Zion,3,2019,3
Europa,Jax Jones,3,2019,3
Europa,Madison Beer,3,2019,3
Europa,Martin Solveig,3,2019,3
Jax Jones,Madison Beer,3,2019,3
Jax Jones,Martin Solveig,3,2019,3
Madison Beer,Martin Solveig,3,2019,3
Eminem,Logic,3,2019,3
Juice WRLD,Lil Tecca,3,2019,3
Diplo,LSD,3,2019,7
Diplo,Labrinth,3,2019,7
Diplo,Sia,3,2019,7
LSD,Labrinth,3,2019,7
LSD,Sia,3,2019,7
Labrinth,Sia,3,2019,7
Dalex,Rafa Pabön,3,2019,3
Feid,Rafa Pabön,3,2019,3
Lenny Tavárez,Rafa Pabön,3,2019,3
Rafa Pabön,Sech,3,2019,3
Anuel AA,Nicky Jam,3,2019,3
Cardi B,DJ Snake,3,2019,4
Cardi B,Ozuna,3,2019,5
Cardi B,Selena Gomez,3,2019,4
DJ Snake,Ozuna,3,2019,4
DJ Snake,Selena Gomez,3,2019,4
Ozuna,Selena Gomez,3,2019,4
Bas,Dreamville,3,2019,3
Bas,JID,3,2019,3
Dreamville,JID,3,2019,3
Anuel AA,Darell,3,2019,4
Travis Barker,YUNGBLUD,3,2019,3
Agnes,Avicii,3,2019,3
Agnes,Vargas & Lagola,3,2019,3
Avicii,Vargas & Lagola,3,2019,4
Brytiago,Darell,3,2019,6
DJ Snake,J Balvin,3,2019,3
