Source,Target,Type,Weight
83,127,undirected,4
226,316,undirected,3
115,546,undirected,3
38,446,undirected,3
38,280,undirected,3
38,592,undirected,3
38,317,undirected,3
446,280,undirected,3
446,592,undirected,3
446,317,undirected,3
280,592,undirected,3
280,317,undirected,3
592,317,undirected,3
51,15,undirected,3
6,327,undirected,3
6,141,undirected,3
327,141,undirected,3
488,141,undirected,3
6,37,undirected,2
41,317,undirected,2
204,195,undirected,2
475,307,undirected,2
46,519,undirected,2
7,22,undirected,2
7,257,undirected,2
22,257,undirected,2
403,227,undirected,2
327,612,undirected,2
490,188,undirected,2
496,115,undirected,2
496,198,undirected,2
496,546,undirected,2
115,198,undirected,2
198,546,undirected,2
408,274,undirected,2
80,54,undirected,2
316,517,undirected,2
7,93,undirected,2
7,349,undirected,2
204,400,undirected,2
462,645,undirected,2
96,127,undirected,2
58,268,undirected,2
195,328,undirected,2
37,15,undirected,2
127,541,undirected,2
555,646,undirected,2
6,269,undirected,2
189,313,undirected,2
593,424,undirected,2
34,564,undirected,2
198,647,undirected,2
594,50,undirected,2
4,69,undirected,2
411,253,undirected,2
50,307,undirected,2
227,634,undirected,2
201,2,undirected,2
198,648,undirected,2
58,134,undirected,2
99,360,undirected,2
198,355,undirected,2
389,316,undirected,1
287,350,undirected,1
41,99,undirected,1
310,649,undirected,1
15,529,undirected,1
595,647,undirected,1
54,92,undirected,1
403,650,undirected,1
401,46,undirected,1
401,519,undirected,1
596,568,undirected,1
6,65,undirected,1
6,66,undirected,1
6,18,undirected,1
6,264,undirected,1
65,66,undirected,1
65,18,undirected,1
65,264,undirected,1
66,18,undirected,1
66,264,undirected,1
18,264,undirected,1
6,134,undirected,1
291,116,undirected,1
45,327,undirected,1
45,612,undirected,1
156,420,undirected,1
597,598,undirected,1
597,651,undirected,1
598,651,undirected,1
49,226,undirected,1
8,269,undirected,1
599,600,undirected,1
599,398,undirected,1
600,398,undirected,1
601,16,undirected,1
602,451,undirected,1
602,652,undirected,1
451,652,undirected,1
280,327,undirected,1
280,612,undirected,1
266,291,undirected,1
603,92,undirected,1
409,293,undirected,1
8,653,undirected,1
104,79,undirected,1
389,654,undirected,1
15,104,undirected,1
64,604,undirected,1
64,655,undirected,1
604,655,undirected,1
23,226,undirected,1
23,260,undirected,1
226,260,undirected,1
413,280,undirected,1
49,656,undirected,1
418,657,undirected,1
80,269,undirected,1
15,269,undirected,1
247,6,undirected,1
414,530,undirected,1
69,92,undirected,1
6,493,undirected,1
484,361,undirected,1
127,534,undirected,1
49,115,undirected,1
49,546,undirected,1
49,284,undirected,1
115,284,undirected,1
546,284,undirected,1
605,46,undirected,1
605,546,undirected,1
605,658,undirected,1
46,546,undirected,1
46,658,undirected,1
546,658,undirected,1
417,106,undirected,1
417,195,undirected,1
417,328,undirected,1
417,537,undirected,1
106,195,undirected,1
106,328,undirected,1
106,537,undirected,1
195,537,undirected,1
328,537,undirected,1
64,659,undirected,1
598,660,undirected,1
418,310,undirected,1
156,154,undirected,1
132,92,undirected,1
593,661,undirected,1
606,313,undirected,1
7,456,undirected,1
484,317,undirected,1
607,45,undirected,1
424,116,undirected,1
608,156,undirected,1
176,104,undirected,1
425,257,undirected,1
41,327,undirected,1
41,272,undirected,1
327,317,undirected,1
327,272,undirected,1
317,272,undirected,1
2,317,undirected,1
41,662,undirected,1
609,663,undirected,1
263,128,undirected,1
16,420,undirected,1
389,664,undirected,1
141,665,undirected,1
97,4,undirected,1
482,666,undirected,1
398,610,undirected,1
398,531,undirected,1
398,667,undirected,1
610,531,undirected,1
610,667,undirected,1
531,667,undirected,1
6,420,undirected,1
6,92,undirected,1
420,92,undirected,1
6,46,undirected,1
64,8,undirected,1
54,400,undirected,1
555,668,undirected,1
129,130,undirected,1
129,21,undirected,1
129,1,undirected,1
129,48,undirected,1
129,131,undirected,1
129,323,undirected,1
130,21,undirected,1
130,1,undirected,1
130,48,undirected,1
130,131,undirected,1
130,323,undirected,1
21,1,undirected,1
21,48,undirected,1
21,131,undirected,1
21,323,undirected,1
1,48,undirected,1
1,131,undirected,1
1,323,undirected,1
48,131,undirected,1
48,323,undirected,1
131,323,undirected,1
54,268,undirected,1
593,298,undirected,1
22,550,undirected,1
15,16,undirected,1
434,18,undirected,1
325,669,undirected,1
41,284,undirected,1
401,23,undirected,1
34,243,undirected,1
6,354,undirected,1
611,92,undirected,1
612,670,undirected,1
260,581,undirected,1
613,671,undirected,1
327,355,undirected,1
327,618,undirected,1
355,618,undirected,1
614,16,undirected,1
615,616,undirected,1
615,672,undirected,1
616,672,undirected,1
41,673,undirected,1
617,555,undirected,1
445,446,undirected,1
445,556,undirected,1
446,556,undirected,1
170,404,undirected,1
170,12,undirected,1
404,12,undirected,1
368,531,undirected,1
450,557,undirected,1
204,92,undirected,1
452,310,undirected,1
618,581,undirected,1
619,674,undirected,1
156,287,undirected,1
97,15,undirected,1
6,675,undirected,1
107,459,undirected,1
107,526,undirected,1
459,526,undirected,1
620,195,undirected,1
620,328,undirected,1
67,69,undirected,1
141,676,undirected,1
464,360,undirected,1
263,561,undirected,1
115,677,undirected,1
316,639,undirected,1
233,92,undirected,1
621,498,undirected,1
621,678,undirected,1
498,678,undirected,1
166,556,undirected,1
508,355,undirected,1
508,298,undirected,1
355,298,undirected,1
622,156,undirected,1
531,679,undirected,1
64,241,undirected,1
395,480,undirected,1
395,361,undirected,1
480,361,undirected,1
623,270,undirected,1
73,54,undirected,1
187,624,undirected,1
187,632,undirected,1
624,632,undirected,1
115,625,undirected,1
115,647,undirected,1
