ID,Label
1,Pineapple StormTv
2,Post Malone
3,MC Kevin o Chris
4,Henrique & Juliano
5,Analaga
6,Anitta
7,Alok
8,Henrique & Diego
9,Goodboys
10,Brendon Urie
11,Felipe Original
12,Luccas Carlos
13,César Mc
14,Claudia Leitte
15,Jorge & Mateus
16,Maiara & Maraisa
17,Aloe Blacc
18,Mc Zaac
19,Ducon
20,Kayuá
21,Maria
22,Bruno Martini
23,Ed Sheeran
24,Dilsinho
25,Avine Vinny
26,Dallass
27,Ludmilla
28,Chris Brown
29,Felix Jaehn
30,Bradley Cooper
31,Ozzy Osbourne
32,MC JottaPê
33,MC Kekel
34,Gusttavo Lima
35,JS o Mão de Ouro
36,Panic! At The Disco
37,Gustavo Mioto
38,Chance the Rapper
39,Adam K
40,Bob do Contra
41,Camila Cabello
42,Chris MC
43,Billy Ray Cyrus
44,Fancy Inc
45,DJ Snake
46,J Balvin
47,Diego & Victor Hugo
48,Salve Malak
49,Ariana Grande
50,Lana Del Rey
51,Fernando & Sorocaba
52,Gloria Groove
53,Aldair Playboy
54,MC Kevinho
55,Gente De Zona
56,MC Mirella
57,DJ 2F
58,ANAVITÓRIA
59,DJ RD
60,A Banca Records
61,Azzy
62,Black
63,Lourena
64,Dennis DJ
65,DJ Yuri Martins
66,Maejor
67,Bruno & Marrone
68,CHVRCHES
69,Marília Mendonça
70,Djonga
71,MC Hariel
72,Didá Banda Feminina
73,Leo Santana
74,BK
75,Delacruz
76,Diomedes Chinaski
77,Luiz Lins
78,Matuê
79,MC G15
80,João Neto & Frederico
81,Lexa
82,MC Dede
83,MC Lan
84,Skrillex
85,TroyBoi
86,Becky G
87,Duckwrth
88,Keke Palmer
89,League of Legends
90,SOYEON of (G)I-DLE
91,Thutmose
92,Wesley Safadão
93,IRO
94,Dj Guuga
95,Ferrugem
96,Jerry Smith
97,Felipe Araújo
98,Anuel AA
99,Daddy Yankee
100,KAROL G
101,Eduardo Costa
102,Bad Bunny
103,Luka da Z.O
104,Lucas Lucco
105,Dj Gabriel do Borel
106,Mc Davi
107,BTS
108,Lil Nas X
109,Gesaffelstein
110,Mc Bola
111,Dynoro
112,5 Seconds of Summer
113,Billie Eilish
114,Daniel
115,Calvin Harris
116,Selena Gomez
117,Tainy
118,MC Bruninho
119,FBC
120,Cardi B
121,FP do Trem Bala
122,Humberto & Ronaldo
123,DJ Dollynho Da Lapa
124,Orgânico
125,Rap Box
126,Jefferson Moraes
127,MC WM
128,Rita Ora
129,Choice
130,Lord
131,Sant
132,Gabriel Diniz
133,Dadá Boladão
134,Projota
135,Luíza & Maurílio
136,Jão
137,Clau
138,CortesiaDaCasa
139,DJ Victor Falcão
140,MC Menininho
141,Pabllo Vittar
142,MKLA
143,David Bowie
144,Jonas Esticado
145,Hash Produções
146,Jovem Dex
