Source ,Target,Type,Weight
1,551,undirected,6
2,193,undirected,5
3,551,undirected,5
4,552,undirected,5
5,32,undirected,4
6,268,undirected,4
7,11,undirected,4
8,193,undirected,4
7,55,undirected,4
9,4,undirected,4
10,143,undirected,3
7,553,undirected,3
11,553,undirected,3
12,13,undirected,3
12,193,undirected,3
13,193,undirected,3
14,4,undirected,3
15,141,undirected,3
16,554,undirected,3
17,18,undirected,3
17,19,undirected,3
17,148,undirected,3
18,19,undirected,3
18,148,undirected,3
19,148,undirected,3
20,7,undirected,3
20,55,undirected,3
21,102,undirected,3
18,9,undirected,3
18,4,undirected,3
1,5,undirected,3
22,370,undirected,3
7,23,undirected,3
23,55,undirected,3
24,555,undirected,3
6,3,undirected,3
25,556,undirected,3
26,556,undirected,3
27,165,undirected,3
28,446,undirected,3
29,5,undirected,3
30,4,undirected,3
31,134,undirected,3
5,6,undirected,2
32,6,undirected,2
33,14,undirected,2
34,557,undirected,2
35,30,undirected,2
36,84,undirected,2
37,4,undirected,2
38,558,undirected,2
39,65,undirected,2
1,559,undirected,2
40,27,undirected,2
1,65,undirected,2
28,5,undirected,2
24,94,undirected,2
6,57,undirected,2
16,560,undirected,2
41,42,undirected,2
41,43,undirected,2
41,427,undirected,2
42,43,undirected,2
42,427,undirected,2
43,427,undirected,2
44,117,undirected,2
45,28,undirected,2
11,3,undirected,2
11,551,undirected,2
46,7,undirected,2
46,47,undirected,2
46,55,undirected,2
7,47,undirected,2
47,55,undirected,2
32,71,undirected,2
40,552,undirected,2
48,94,undirected,2
49,58,undirected,2
50,29,undirected,2
51,94,undirected,2
1,3,undirected,2
28,167,undirected,2
52,561,undirected,2
45,559,undirected,2
53,54,undirected,2
53,24,undirected,2
54,24,undirected,2
45,4,undirected,2
20,23,undirected,2
20,11,undirected,2
20,553,undirected,2
23,11,undirected,2
23,553,undirected,2
11,55,undirected,2
55,553,undirected,2
14,65,undirected,2
33,117,undirected,2
56,57,undirected,2
56,58,undirected,2
56,3,undirected,2
57,58,undirected,2
57,3,undirected,2
58,3,undirected,2
59,291,undirected,2
60,165,undirected,2
24,562,undirected,2
61,9,undirected,2
62,24,undirected,2
62,555,undirected,2
63,563,undirected,2
64,6,undirected,2
64,3,undirected,2
25,26,undirected,2
6,65,undirected,2
6,4,undirected,2
65,4,undirected,2
66,564,undirected,2
62,565,undirected,2
67,232,undirected,2
22,68,undirected,2
68,370,undirected,2
69,3,undirected,2
50,24,undirected,2
50,25,undirected,2
24,25,undirected,2
70,566,undirected,2
71,551,undirected,2
67,98,undirected,2
72,73,undirected,2
72,356,undirected,2
73,356,undirected,2
74,4,undirected,2
74,552,undirected,2
75,567,undirected,2
76,77,undirected,2
76,6,undirected,2
77,6,undirected,2
78,168,undirected,2
79,165,undirected,2
80,96,undirected,2
29,6,undirected,2
81,79,undirected,2
82,132,undirected,2
16,551,undirected,2
24,83,undirected,2
