Id,Name,
1,Dalex,1
2,Bad Bunny,2
3,Capital Bra,3
4,Nicky Jam,4
5,Anuel AA,5
6,Lenny Tavárez,6
7,Justin Quiles,7
8,Farruko,8
9,Feid,9
10,Travis Scott,10
11,Post Malone,11
12,Dreamville,12
13,Gunna,13
14,Camilo,14
15,Sech,15
16,5 Seconds of Summer,16
17,J Balvin,17
18,Darell,18
19,DJ Luian,19
20,Aloe Blacc,20
21,J. Cole,21
22,ILLENIUM,22
23,Lennon Stella,23
24,Bebe Rexha,24
25,Daddy Yankee,25
26,Europa,26
27,Jax Jones,27
28,Madison Beer,28
29,Eminem,29
30,Juice WRLD,30
31,Diplo,31
32,LSD,32
33,Labrinth,33
34,Rafa Pabön,34
35,Cardi B,35
36,DJ Snake,36
37,Ozuna,37
38,Bas,38
39,Travis Barker,39
40,Agnes,40
41,Avicii,41
42,Brytiago,42
43,Brendon Urie,43
44,Ed Sheeran,44
45,Trippie Redd,45
46,Goodboys,46
47,Drake,47
48,DaBaby,48
49,Dímelo Flow,49
50,Offset,50
51,Tyga,51
52,Billy Ray Cyrus,52
53,Lil Baby,53
54,Meek Mill,54
55,21 Savage,55
56,Migos,56
57,RANI,57
58,Reik,58
59,Loredana,59
60,Manuel Turizo,60
61,Arcangel,61
62,Lauv,62
63,KAROL G,63
64,Cazzu,64
65,KHEA,65
66,Chris Brown,66
67,Billie Eilish,67
68,Disclosure,68
69,9lokknine,69
70,Bruno Mars,70
71,Chris Stapleton,71
72,EARTHGANG,72
73,JID,73
74,A Boogie Wit da Hoodie,74
75,6ix9ine,75
76,Game of Thrones,76
77,SZA,77
78,The Weeknd,78
79,Burna Boy,79
80,Luciano,80
81,Ozzy Osbourne,81
82,PnB Rock,82
83,Roddy Ricch,83
84,MACHETE,84
85,Camila Cabello,85
86,BTS,86
87,Panic! At The Disco,87
88,ScHoolboy Q,88
89,Chance the Rapper,89
90,Y2K,90
91,Rich Music LTD,91
92,Wisin,92
