artist_1,artist_2,count,song_ids
Dalex,Lenny Tavárez,11,"['1Xnn1TPyr5h0hpRAT4B4EA', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '1tpbAGsGpZee5jDHMcLrUJ', '5stPVcRqb4qixbafP9e8lt', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '7g8YaUQABMal0zWe7a2ijz', '4AjWbAwRpxk2worpjNH5CS', '1ndyl3wJCFs872XZ3ztPk6']"
Bad Bunny,J Balvin,10,"['7alOsNr36sJ8CyOEP4aILq', '71pEiUWwfDFiRO6RmFpnBf', '0uIfrUwwg0Z7KTitul7E3T', '25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '7hynhxDoDpgMIV12JuVtNa', '58q2HKrzhC3ozto2nDdN4z', '4R8BJggjosTswLxtkw8V7P', '0fea68AdmYNygeTGI4RC18', '6SYSu569pfYdkDT9A5lZqi']"
Capital Bra,Samra,10,"['4Rif4wqdvzy84dhP1apC4Y', '6fDC5DIa4bt6NbPZWR1yxM', '67ojvEGRPAUCOohuMPqoRC', '6AFIVhbJLR7YVvW9fLFMu1', '2pfio0uHpT4USTPBNeTIWo', '1VEMUkGFio5uURvN8x1DZJ', '5sdQ7VUx6GOfsRoSxnK1YG', '2kkcJ8tSDV42LdWcPjy6We', '3drwaFqLSEjqzjNRbjap0R', '1mdJ39D1lrR3aWIOhgeNaE']"
Nicky Jam,Sech,8,"['7anSoGdgtmJTAPZBzcPhO6', '4bTZeO72FwMa6wKOiqoynL', '684EjRHwNsZQ9hCQxL4NYL', '3KekO5WUfJsh7kYU9o2w50', '1k1CJlU1eAEpAbNK0TVeKD', '3dWpRjCmaHbroNahuSeX11', '7fODjB7BrQTGqh0hogW6XD', '26Qhn2T88XqVinXQpmSarj']"
Anuel AA,Ozuna,7,"['3jbT1Y5MoPwEIpZndDDwVq', '4bTZeO72FwMa6wKOiqoynL', '37zdqI4r1gswIzczSBkRon', '7mWFF4gPADjTQjC97CgFVt', '3cg9A9GVyZAT2CPevqWr65', '59PYgzOiOjGDzjDT5N5oOX', '2ksOAxtIxY8yElEWw8RhgK']"
Dalex,Sech,7,"['5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '7g8YaUQABMal0zWe7a2ijz', '4AjWbAwRpxk2worpjNH5CS']"
Lenny Tavárez,Sech,7,"['5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '224EVTFiLsdQignUFLvDeH', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '7g8YaUQABMal0zWe7a2ijz', '4AjWbAwRpxk2worpjNH5CS']"
Dalex,Justin Quiles,7,"['1Xnn1TPyr5h0hpRAT4B4EA', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '4AjWbAwRpxk2worpjNH5CS', '1ndyl3wJCFs872XZ3ztPk6']"
Justin Quiles,Lenny Tavárez,7,"['1Xnn1TPyr5h0hpRAT4B4EA', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '4AjWbAwRpxk2worpjNH5CS', '1ndyl3wJCFs872XZ3ztPk6']"
Farruko,Sech,5,"['684EjRHwNsZQ9hCQxL4NYL', '3dWpRjCmaHbroNahuSeX11', '1k1CJlU1eAEpAbNK0TVeKD', '7fODjB7BrQTGqh0hogW6XD', '6K5BsR04ijf3FHNzjbaagD']"
