Id,Label
1,Dalex
2,Bad Bunny
3,Capital Bra
4,Nicky Jam
5,Anuel AA
6,Lenny Tavárez
7,Justin Quiles
8,Farruko
9,Feid
10,Travis Scott
11,Post Malone
12,Dreamville
13,Gunna
14,Camilo
15,Sech
16,5 Seconds of Summer
17,J Balvin
18,Darell
19,DJ Luian
20,Aloe Blacc
21,J. Cole
22,ILLENIUM
23,Lennon Stella
24,Bebe Rexha
25,Daddy Yankee
26,Europa
27,Jax Jones
28,Madison Beer
29,Eminem
30,Juice WRLD
31,Diplo
32,LSD
33,Labrinth
34,Rafa Pabön
35,Cardi B
36,DJ Snake
37,Ozuna
38,Bas
39,Travis Barker
40,Agnes
41,Avicii
42,Brytiago
43,Brendon Urie
44,Ed Sheeran
45,Trippie Redd
46,Goodboys
47,Drake
48,DaBaby
49,Dímelo Flow
50,Offset
51,Tyga
52,Billy Ray Cyrus
53,Lil Baby
54,Meek Mill
55,21 Savage
56,Migos
57,RANI
58,Reik
59,Loredana
60,Manuel Turizo
61,Arcangel
62,Lauv
63,KAROL G
64,Cazzu
65,KHEA
66,Chris Brown
67,Billie Eilish
68,Disclosure
69,9lokknine
70,Bruno Mars
71,Chris Stapleton
72,EARTHGANG
73,JID
74,A Boogie Wit da Hoodie
75,6ix9ine
76,Game of Thrones
77,SZA
78,The Weeknd
79,Burna Boy
80,Luciano
81,Ozzy Osbourne
82,PnB Rock
83,Roddy Ricch
84,MACHETE
85,Camila Cabello
86,BTS
87,Panic! At The Disco
88,ScHoolboy Q
89,Chance the Rapper
90,Y2K
91,Rich Music LTD
92,Wisin
93,Fall Out Boy
94,Macklemore
95,Jon Z
96,Dan Caplen
97,Jess Glynne
98,Lil Tjay
99,Future
100,Halsey
101,Anne-Marie
102,Kehlani
103,Ant Clemons
104,Maluma
105,KC Rebell
106,LEA
107,Adriana Proenza
108,Luis Fonsi
109,Alan Walker
110,NAV
111,Ariana Grande
112,Lana Del Rey
113,Machine Gun Kelly
114,Gucci Mane
115,RAF Camora
116,James Blake
117,Metro Boomin
118,Erika Sirola
119,Eartha Kitt
120,Khalid
121,Becky G
122,Katy Perry
123,Casper Magico
124,Nio Garcia
125,Mambo Kingz
126,Mau y Ricky
127,Kirsty MacColl
128,G-Eazy
129,Rich The Kid
130,Shawn Mendes
131,Barloe Team
132,A Touch Of Class
133,Mustard
134,CHVRCHES
135,Marshmello
136,YUNGBLUD
137,Myke Towers
138,Eno
139,Duckwrth
140,Keke Palmer
141,League of Legends
142,SOYEON of (G)I-DLE
143,Thutmose
144,Ky-Mani Marley
145,Stefflon Don
146,Vybz Kartel
147,DJ Khaled
148,Kane Brown
149,Fred Hammond
150,Imanbek
151,MAX
152,Dayvi
153,Kelly Ruíz
154,Cruz Cafuné
155,Lil Pump
156,Kendrick Lamar
157,Damso
158,Buddy
159,Guapdad 4000
160,Jace
161,Mez
162,Reese LAFLARE
163,Ski Mask The Slump God
164,Dani Faiv
165,Fabri Fibra
166,2 Chainz
167,Anitta
168,Mc Zaac
169,Kanye West
170,Lil Nas X
171,Gesaffelstein
172,A$AP Rocky
173,Dynoro
174,Hit-Boy
175,Nipsey Hussle
176,Bing Crosby
177,John Scott Trotter & His Orchestra
178,Coldplay
179,Blueface
180,BLACKPINK
181,David Guetta
182,Calvin Harris
183,Selena Gomez
184,Tainy
185,ZAYN
186,Nicki Minaj
187,Murda Beatz
188,Azet
189,RIN
190,French Montana
191,Kalazh44
192,Nimo
193,Dixie Chicks
194,Kygo
195,Lil Uzi Vert
196,Brooks
197,Grey
198,Maren Morris
199,Ellie Goulding
200,Almighty
201,Noriel
202,Doja Cat
203,Summer Walker
204,Elley Duhé
205,Brando
206,Marracash
207,Nitro
208,Dennis DJ
209,Rita Ora
210,El Alfa
211,Jonas Brothers
212,Natti Natasha
213,JP Saxe
214,Dardan
215,Galantis
216,Dua Lipa
217,Mark Ronson
218,B. Swanson Quartet
219,Alesso
220,Lunay
221,Chelsea Cutler
222,Ink
223,Ghostface Killah
224,Christian Nodal
225,Death Stranding: Timefall
226,Internet Money
227,David Bowie
228,Cauty
229,Chencho Corleone
230,Cosculluela
231,Beyoncé
232,Childish Gambino
233,JAY-Z
234,The Chainsmokers
235,Ty Dolla $ign
236,Bonez MC
237,Gzuz
238,LX
239,Maxwell
240,Bryson Tiller
241,Lexa
242,Luísa Sonza
243,Becky Hill
244,Ninho
245,Evan Rachel Wood
246,AURORA
247,Imagine Dragons
248,Micro TDH
249,T-Pain
250,Michael Bublé
251,Jonas Blue
252,Dan + Shay
253,Brett Eldredge
254,Jessie Reyez
255,Quavo
256,Tory Lanez
257,Bradley Cooper
258,Afro Bros
259,Dimitri Vegas
260,Dimitri Vegas & Like Mike
261,Like Mike
262,Lil Duke
263,Henning May
264,Ezhel
265,Jerry Smith
266,Hava
267,Sfera Ebbasta
268,Bazzi
269,Captain Cuts
270,Felix Jaehn
271,Georgia Ku
272,Justin Bieber
273,Joyner Lucas
274,Farid Bang
275,John Lennon
276,The Harlem Community Choir
277,The Plastic Ono Band
278,Megan Thee Stallion
279,Bausa
280,A$AP Ferg
281,Big Sean
282,Guaynaa
283,Blue Ivy
284,SAINt JHN
285,Avril Lavigne
286,Data Luv
287,Black Eyed Peas
288,Mason Ramsey
289,Little Mix
290,John Mayer
291,John Legend
292,50 Cent
293,John Williams
294,Clean Bandit
295,Chris Jeday
296,Gaby Music
297,Felipe Araújo
298,MC Gury
299,Julia Michaels
300,Gradur
301,Maroon 5
302,Dave
303,Clipse
304,Zac Efron
305,Blake Shelton
306,Mitchell Ayres & His Orchestra
307,Perry Como
308,El Guincho
309,De La Ghetto
310,Bad Gyal
311,Aaron Smith
312,Krono
313,BlocBoy JB
314,Animus
315,Alizzz
316,C. Tangana
317,Luche
318,Daniel Caesar
319,Ghetto
320,Kodak Black
321,Lalo Ebratt
322,ILOVEMAKONNEN
323,Swae Lee
324,Lazza
325,Lil Peep
326,Sean Paul
327,Juhn
328,Florida Georgia Line
329,Hailee Steinfeld
330,SHAED
331,Larry Walsh
332,Mark Linett
333,Sweet
334,Kina
335,Jowell & Randy
336,Santana
337,Gemitaiz
338,Bastille
339,J Hus
340,Bantu
341,Dzeko
342,Preme
343,Dadá Boladão
344,OIK
345,Anderson .Paak
346,Amenazzy
347,Logic
348,Maître Gims
349,Bizarrap
350,A R I Z O N A
