Source,Target,Type,Weight
1,3,Undirected,3295463.293
2,3,Undirected,3524193.662
3,11,Undirected,4121208.663
4,5,Undirected,4745565.905
5,5,Undirected,5379896.949
3,3,Undirected,3519700.545
5,10,Undirected,5190373.505
5,1,Undirected,3323070.795
1,11,Undirected,3170594.516
5,3,Undirected,2966701.635
2,1,Undirected,3835655.698
5,27,Undirected,4096973.283
3,13,Undirected,358301.1
3,12,Undirected,3152056.137
6,5,Undirected,5377529.563
4,10,Undirected,5319084.314
7,3,Undirected,3439192.578
2,11,Undirected,3498797.395
1,1,Undirected,4214240.18
8,5,Undirected,3378556.048
4,27,Undirected,3559964.762
9,3,Undirected,3715618.857
7,11,Undirected,4571991.293
5,11,Undirected,2397144.447
2,13,Undirected,220079
4,1,Undirected,3868757.585
7,1,Undirected,3085535.436
10,27,Undirected,3910672.698
1,12,Undirected,3711090.886
2,2,Undirected,3364917.125
11,11,Undirected,2712600.216
4,8,Undirected,3344425.774
2,5,Undirected,2946014
4,4,Undirected,3567056.579
4,3,Undirected,2714536.733
5,100,Undirected,6480033.844
1,10,Undirected,4510393.455
6,10,Undirected,5862584.125
12,11,Undirected,2730197
10,10,Undirected,6447816.886
9,1,Undirected,2691755.241
4,6,Undirected,5327583.862
3,65,Undirected,651721.5
13,13,Undirected,221566.6667
2,12,Undirected,4316743.944
8,10,Undirected,3599844.519
9,11,Undirected,2562455.167
13,65,Undirected,221566.6667
14,3,Undirected,2155149
15,3,Undirected,2826027.917
6,27,Undirected,4210055.056
7,5,Undirected,2687726.958
8,27,Undirected,3266339.688
2,7,Undirected,3679710.13
16,5,Undirected,2858898.955
5,28,Undirected,3982537.05
17,5,Undirected,6988091.227
10,3,Undirected,3292086.316
18,3,Undirected,3391530.429
9,2,Undirected,2306209.111
19,3,Undirected,4049676
4,11,Undirected,2156933.45
20,3,Undirected,2547407.6
5,47,Undirected,4905139.733
2,65,Undirected,665624
5,12,Undirected,1957701.944
21,5,Undirected,8863362.111
3,29,Undirected,3798372.714
11,13,Undirected,491865.2
4,100,Undirected,5400516.412
4,47,Undirected,2585059.75
22,5,Undirected,4880827.455
6,6,Undirected,7754668.714
23,3,Undirected,4223676.5
24,5,Undirected,1768729.385
25,3,Undirected,4382874.938
1,28,Undirected,2894213.286
1,13,Undirected,369540.1429
25,11,Undirected,7754630.706
26,3,Undirected,825835.1667
7,12,Undirected,2664314.222
2,14,Undirected,220079
27,100,Undirected,4520346.643
28,3,Undirected,3352334.533
17,3,Undirected,5735978.786
10,100,Undirected,7348357.941
14,13,Undirected,220079
10,11,Undirected,2988283.438
29,13,Undirected,199120
27,27,Undirected,3259051.133
5,45,Undirected,1955430.455
8,1,Undirected,2029889.25
8,100,Undirected,4428278.786
30,3,Undirected,5138466.214
3,33,Undirected,5448578.077
9,5,Undirected,1397822.643
24,1,Undirected,1885888.583
18,2,Undirected,1422197.444
20,11,Undirected,2547407.6
9,12,Undirected,2396119.063
4,22,Undirected,1391590.375
4,16,Undirected,2093044.923
1,27,Undirected,2151580.923
8,6,Undirected,3710115.833
7,7,Undirected,2919954.308
3,37,Undirected,221566.6667
19,2,Undirected,2662913.429
9,7,Undirected,5373329.143
4,2,Undirected,3990206.222
30,1,Undirected,6443188.231
17,1,Undirected,5987290
15,11,Undirected,2585905.667
1,100,Undirected,4633086.5
30,11,Undirected,4049275
1,45,Undirected,2114691.6
20,1,Undirected,2547407.6
25,1,Undirected,4296312.769
31,5,Undirected,7118883.818
2,10,Undirected,2705527.9
32,3,Undirected,3374614.556
33,11,Undirected,4316753.455
24,3,Undirected,2269505.333
3,45,Undirected,2269505.333
27,47,Undirected,2225759.75
10,47,Undirected,2787861.3
16,10,Undirected,2980063.583
1,33,Undirected,6359312.8
34,5,Undirected,5599180.5
3,100,Undirected,5531796.667
20,13,Undirected,746516
3,229,Undirected,1026476.125
35,7,Undirected,2849558.818
36,5,Undirected,6304385.583
2,26,Undirected,1441112.4
26,13,Undirected,221566.6667
37,13,Undirected,221566.6667
4,24,Undirected,1531668.2
20,2,Undirected,2362696.857
38,5,Undirected,1760619
35,1,Undirected,2201657.636
5,29,Undirected,2076576
15,1,Undirected,2451517.333
35,11,Undirected,3145789.818
2,15,Undirected,3507534.8
15,13,Undirected,199120
22,47,Undirected,3291370.714
8,47,Undirected,2360835
38,4,Undirected,1659414.375
2,28,Undirected,4018023.625
39,3,Undirected,3519879.444
39,11,Undirected,3531560.571
1,229,Undirected,1846393.625
2,37,Undirected,221566.6667
4,45,Undirected,1729116.875
8,3,Undirected,1672881.333
8,8,Undirected,2526989.125
22,27,Undirected,1309689.714
35,5,Undirected,3581855.125
7,10,Undirected,2033050.6
17,4,Undirected,7966003.1
30,5,Undirected,2733840.5
28,11,Undirected,1655165.125
18,13,Undirected,225318.75
5,59,Undirected,3761444.667
35,3,Undirected,3055234.667
1,213,Undirected,2868051.714
3,213,Undirected,3276295.833
10,12,Undirected,2522479.222
4,7,Undirected,1895837.3
5,229,Undirected,3278292.2
21,3,Undirected,2282501
17,11,Undirected,5053926.222
32,1,Undirected,4044631
2,29,Undirected,754018.5
29,65,Undirected,199120
24,10,Undirected,1608195.333
17,27,Undirected,3619821.667
40,1,Undirected,2267201
40,3,Undirected,2267201
23,1,Undirected,4850307.444
19,1,Undirected,2157972.333
22,10,Undirected,2767307
8,22,Undirected,1322486.167
5,230,Undirected,8237998.778
18,1,Undirected,4855175.5
18,11,Undirected,4215736.375
1,65,Undirected,3198489.571
9,10,Undirected,1800341.889
6,1,Undirected,6503134.25
10,28,Undirected,6393463.625
5,108,Undirected,7022191.667
41,5,Undirected,10612313.29
21,1,Undirected,7630492
4,28,Undirected,3761413.286
40,2,Undirected,2267201
16,100,Undirected,3975572.125
8,16,Undirected,2112648.857
16,27,Undirected,2112648.857
10,230,Undirected,9241195.375
5,33,Undirected,3194401.125
31,10,Undirected,5730525.25
4,59,Undirected,4572035.6
3,121,Undirected,2089881.6
9,4,Undirected,1330538.375
1,74,Undirected,3048736.4
1,29,Undirected,2612244.2
17,2,Undirected,7837506.333
2,33,Undirected,5309711.875
7,13,Undirected,746516
42,5,Undirected,5421753
21,2,Undirected,2058303.5
5,213,Undirected,2122806.5
43,5,Undirected,7237080.25
44,6,Undirected,3670409.286
44,5,Undirected,3670409.286
24,11,Undirected,1990238.5
45,11,Undirected,1990238.5
17,6,Undirected,3799394.25
46,2,Undirected,2512104.833
46,3,Undirected,2512104.833
23,11,Undirected,1798243.286
9,25,Undirected,7723889.571
25,12,Undirected,3238596.286
25,5,Undirected,3023474.143
36,36,Undirected,5587691.714
18,7,Undirected,4825387.143
14,1,Undirected,2973501
14,11,Undirected,2515312.833
21,6,Undirected,11831897.83
9,13,Undirected,322098
26,11,Undirected,1075219.5
12,13,Undirected,586497.3333
14,65,Undirected,214796.75
39,7,Undirected,3946491.2
7,15,Undirected,554143.8
18,5,Undirected,5506759
3,74,Undirected,3724552.667
47,100,Undirected,3738205.857
4,12,Undirected,1821123
2,229,Undirected,2044674.6
11,229,Undirected,1773037.333
30,2,Undirected,5989220.286
30,12,Undirected,6313736.571
32,2,Undirected,4851550
12,33,Undirected,6313736.571
21,4,Undirected,8031600.286
20,7,Undirected,537140.8
5,145,Undirected,3976659.333
48,36,Undirected,5610939.2
49,36,Undirected,7012772.667
21,11,Undirected,1846024
11,29,Undirected,754018.5
11,65,Undirected,390664.5
20,65,Undirected,199120
16,3,Undirected,2048361
10,45,Undirected,2041356.25
50,5,Undirected,3418776.857
44,27,Undirected,3424904
28,27,Undirected,3878185.167
6,51,Undirected,3335483.333
51,5,Undirected,3335483.333
46,1,Undirected,2512104.833
36,10,Undirected,8511952.333
8,11,Undirected,3949567
5,70,Undirected,846855.3333
52,1,Undirected,12505487
19,11,Undirected,874012.2
53,3,Undirected,5700283.25
25,2,Undirected,4394052.333
12,12,Undirected,4888334.333
38,47,Undirected,1074471.75
16,47,Undirected,1074471.75
38,8,Undirected,1164185.6
54,5,Undirected,839771.5
38,27,Undirected,1164185.6
30,4,Undirected,4730557.333
9,18,Undirected,2705099.833
23,2,Undirected,6096311.167
7,14,Undirected,3114925.5
7,65,Undirected,1499568.5
26,65,Undirected,221566.6667
37,65,Undirected,221566.6667
19,13,Undirected,232790
39,1,Undirected,3486380
55,5,Undirected,3992814.2
55,3,Undirected,2239859
56,5,Undirected,1206825.8
57,5,Undirected,1206825.8
58,5,Undirected,1206825.8
8,59,Undirected,5445520.5
59,10,Undirected,4236608
59,27,Undirected,5445520.5
60,5,Undirected,4302222
2,100,Undirected,4768523.2
11,100,Undirected,7122616.8
4,230,Undirected,8515490.333
6,11,Undirected,5349907.5
17,12,Undirected,7291162.833
61,5,Undirected,8724655.4
21,10,Undirected,10196158.2
