ID,Label
1,dance pop
2,pop rap
3,pop
4,hip hop
5,rap
6,edm
7,electropop
8,post-teen pop
9,southern hip hop
10,trap
11,atl hip hop
12,melodic rap
13,electro house
14,r&b
15,gangster rap
16,tropical house
17,hip pop
18,canadian pop
19,miami hip hop
20,alternative r&b
21,moombahton
22,conscious hip hop
23,queens hip hop
24,australian pop
25,chicago rap
26,contemporary country
27,indie poptimism
28,latin
29,hollywood
30,emo rap
31,dfw rap
32,bmore
33,ninja
34,canadian hip hop
35,dirty south rap
36,east coast hip hop
37,house
38,big room
39,detroit hip hop
40,australian dance
41,toronto rap
42,movie tunes
43,pop edm
44,metropopolis
45,show tunes
46,progressive house
47,downtempo
48,country
49,country road
50,uk dance
51,pop rock
52,electronic trap
53,cali rap
54,g funk
55,modern country rock
56,florida rap
57,art pop
58,progressive electro house
59,new orleans rap
60,crunk
61,memphis hip hop
62,barbadian pop
63,aussietronica
64,country pop
65,etherpop
66,indie r&b
67,deep big room
68,candy pop
69,hardcore hip hop
70,brostep
71,talent show
72,complextro
73,german techno
74,canadian contemporary r&b
75,modern alternative rock
76,dmv rap
77,indie pop
78,k-pop girl group
79,swedish pop
80,uk funky
81,k-pop
82,k-pop boy group
83,atl trap
84,neo soul
85,broadway
86,modern rock
87,electronica
88,francoton
89,indietronica
90,indie pop rap
91,danish pop
92,dutch house
93,australian hip hop
94,australian indie
95,uk pop
96,liquid funk
97,electro
98,filter house
99,neo mellow
100,boston hip hop
101,reggaeton
102,latin pop
103,social media pop
104,girl group
105,afro dancehall
106,afropop
107,escape room
108,dancehall
109,dutch pop
110,indie electropop
111,deep pop r&b
112,philly rap
113,ghanaian hip hop
114,swedish dancehall
115,norwegian pop
116,soul
117,reggae fusion
118,gauze pop
119,outlaw country
120,latin hip hop
121,puerto rican pop
122,tropical
123,texas country
124,destroy techno
125,drill
126,teen pop
127,shiver pop
128,rock
129,lgbtq+ hip hop
130,australian alternative pop
131,nyc pop
132,azonto
133,nigerian hip hop
134,nigerian pop
135,uk alternative pop
136,future house
137,australian electropop
138,piano rock
139,south african hip hop
140,latin viral pop
141,dutch edm
142,uk contemporary r&b
143,trap soul
144,glam rock
145,adult standards
146,german dance
147,new jersey rap
148,harlem hip hop
149,nz pop
150,canadian electronic
151,deep euro house
152,deep house
153,finnish pop
154,channel islands indie
155,celtic
156,celtic punk
157,celtic rock
158,folk punk
159,irish folk
160,new wave pop
161,urban contemporary
162,underground hip hop
163,indie cafe pop
164,deep tech house
165,disco house
166,indie soul
167,new french touch
168,alternative hip hop
169,birmingham grime
170,grime
171,instrumental grime
172,eurodance
173,europop
174,italo dance
175,afrofuturism
176,permanent wave
177,rap latina
178,gqom
179,pittsburgh rap
180,houston rap
181,lounge
182,battle rap
183,album rock
184,art rock
185,classic rock
186,dance rock
187,protopunk
188,sleep
189,melbourne bounce
190,easy listening
191,nc hip hop
192,afro house
193,norwegian indie
194,basshall
195,experimental rock
196,experimental
197,experimental pop
198,trap queen
199,nyc rap
200,oklahoma country
201,brill building pop
202,deep adult standards
203,chillwave
204,deep pop edm
205,jump blues
206,swing
207,canadian country
208,country dawn
209,scandipop
210,swedish electropop
211,comedy rap
212,trance
213,alternative dance
214,australian trap
215,indie dream pop
216,swedish synthpop
217,viral pop
218,west coast rap
219,vapor trap
220,trap latino
221,vapor soul
222,rap rock
223,beatboxing
224,video game music
225,punk
226,sky room
227,stomp pop
228,trip hop
229,soundtrack
230,viral trap
231,kwaito house
232,folk rock
233,mellow gold
234,psychedelic rock
235,vocal harmony group
236,shimmer pop
237,vocal jazz
238,nu disco
239,brisbane indie
