Source,Target,Type,Weight
1,1,Undirected,114
2,1,Undirected,96
3,3,Undirected,81
1,12,Undirected,71
3,15,Undirected,68
4,8,Undirected,62
3,1,Undirected,60
5,1,Undirected,48
6,7,Undirected,48
7,23,Undirected,48
1,16,Undirected,47
7,7,Undirected,45
1,17,Undirected,38
8,8,Undirected,36
1,18,Undirected,35
5,3,Undirected,35
1,8,Undirected,32
9,8,Undirected,32
2,16,Undirected,32
3,16,Undirected,31
2,2,Undirected,30
7,21,Undirected,27
3,39,Undirected,26
6,23,Undirected,26
1,4,Undirected,25
1,15,Undirected,25
10,1,Undirected,25
3,28,Undirected,24
2,18,Undirected,22
9,4,Undirected,22
11,30,Undirected,22
5,16,Undirected,21
3,12,Undirected,21
2,17,Undirected,20
7,24,Undirected,20
2,3,Undirected,20
2,12,Undirected,20
4,4,Undirected,19
5,5,Undirected,19
6,21,Undirected,18
12,12,Undirected,17
5,12,Undirected,17
13,8,Undirected,15
14,1,Undirected,15
6,6,Undirected,15
15,15,Undirected,15
16,16,Undirected,14
17,16,Undirected,14
18,16,Undirected,14
19,7,Undirected,14
11,7,Undirected,14
2,7,Undirected,14
2,5,Undirected,14
1,9,Undirected,13
2,11,Undirected,13
1,11,Undirected,13
20,1,Undirected,13
20,8,Undirected,13
1,13,Undirected,13
21,24,Undirected,13
22,7,Undirected,13
7,30,Undirected,13
5,15,Undirected,13
11,11,Undirected,13
13,4,Undirected,12
2,30,Undirected,12
1,30,Undirected,12
7,148,Undirected,12
23,23,Undirected,12
1,28,Undirected,12
24,73,Undirected,11
17,11,Undirected,11
11,18,Undirected,11
6,24,Undirected,11
7,68,Undirected,11
6,11,Undirected,11
21,23,Undirected,11
1,7,Undirected,11
17,30,Undirected,10
18,30,Undirected,10
14,2,Undirected,10
25,7,Undirected,10
24,24,Undirected,10
6,19,Undirected,10
7,16,Undirected,10
26,24,Undirected,10
2,21,Undirected,10
1,21,Undirected,10
6,30,Undirected,10
17,12,Undirected,10
2,6,Undirected,10
27,73,Undirected,9
26,73,Undirected,9
17,18,Undirected,9
2,4,Undirected,9
2,8,Undirected,9
16,4,Undirected,9
16,15,Undirected,9
19,23,Undirected,9
11,21,Undirected,9
28,15,Undirected,9
2,22,Undirected,9
11,86,Undirected,9
3,126,Undirected,9
5,8,Undirected,8
16,28,Undirected,8
16,8,Undirected,8
29,1,Undirected,8
6,16,Undirected,8
6,22,Undirected,8
6,68,Undirected,8
23,68,Undirected,8
21,30,Undirected,8
17,7,Undirected,8
18,7,Undirected,8
22,1,Undirected,8
30,30,Undirected,8
6,1,Undirected,8
1,33,Undirected,8
12,15,Undirected,8
5,19,Undirected,7
13,9,Undirected,7
20,16,Undirected,7
2,29,Undirected,7
31,1,Undirected,7
22,23,Undirected,7
1,32,Undirected,7
17,21,Undirected,7
18,21,Undirected,7
22,21,Undirected,7
1,39,Undirected,7
10,12,Undirected,7
5,17,Undirected,7
2,10,Undirected,7
11,23,Undirected,7
11,136,Undirected,7
11,63,Undirected,7
30,86,Undirected,7
5,28,Undirected,7
6,17,Undirected,7
6,18,Undirected,7
12,16,Undirected,7
2,20,Undirected,6
2,31,Undirected,6
16,39,Undirected,6
17,8,Undirected,6
18,8,Undirected,6
21,21,Undirected,6
32,24,Undirected,6
16,68,Undirected,6
27,24,Undirected,6
2,13,Undirected,6
20,4,Undirected,6
21,148,Undirected,6
24,148,Undirected,6
26,21,Undirected,6
7,73,Undirected,6
23,148,Undirected,6
2,33,Undirected,6
33,16,Undirected,6
34,7,Undirected,6
16,9,Undirected,6
14,3,Undirected,6
35,1,Undirected,6
22,17,Undirected,6
22,18,Undirected,6
23,30,Undirected,6
30,63,Undirected,6
6,148,Undirected,6
36,3,Undirected,6
23,24,Undirected,6
5,4,Undirected,5
17,17,Undirected,5
18,18,Undirected,5
37,64,Undirected,5
