ID,Label
1,dance pop
2,funk carioca
3,pop
4,baile pop
5,brazilian hip hop
6,brazilian edm
7,edm
8,sertanejo pop
9,pop rap
10,electropop
11,rap
12,hip hop
13,post-teen pop
14,funk ostentacao
15,sertanejo universitario
16,sertanejo
17,latin
18,brega funk
19,pop nacional
20,forro
21,electro house
22,atl hip hop
23,melodic rap
24,australian dance
25,australian pop
26,r&b
27,r&b brasileiro
28,funk das antigas
29,dfw rap
30,bmore
31,moombahton
32,ninja
33,nova mpb
34,southern hip hop
35,tropical house
36,canadian pop
37,trap brasileiro
38,reggaeton
39,alternative r&b
40,conscious hip hop
41,folk brasileiro
42,afrofuturismo brasileiro
43,miami hip hop
44,house
45,contemporary country
46,pagode
47,trap
48,pagode baiano
49,axe
50,latin pop
51,mpb
52,hip pop
53,dirty south rap
54,brostep
55,pop rock
56,puerto rican pop
57,detroit hip hop
58,k-pop girl group
59,metropopolis
60,indie poptimism
61,big room
62,brasilia hip hop
63,gangster rap
64,emo rap
65,latin hip hop
66,brazilian rock
67,francoton
68,bass trap
69,electronic trap
70,k-pop
71,etherpop
72,canadian hip hop
73,brazilian house
74,pop edm
75,canadian contemporary r&b
76,girl group
77,chicago rap
78,dancehall
79,progressive house
80,uk dance
81,country
82,country pop
83,country road
84,modern country rock
85,east coast hip hop
86,candy pop
87,soul
88,rap baiano
89,outlaw country
90,complextro
91,german techno
92,texas country
93,hollywood
94,destroy techno
95,atl trap
96,k-pop boy group
97,lgbtq+ hip hop
98,new french touch
99,queens hip hop
100,brazilian reggae
101,tropical
102,brazilian percussion
103,brega romantico
104,colombian pop
105,pernambuco alternative
106,latin viral pop
107,hungarian rock
108,deep big room
109,progressive electro house
110,indie electropop
111,glam rock
112,barbadian pop
113,neo soul
114,uk contemporary r&b
115,dmv rap
116,modern rock
117,modern alternative rock
118,europop
119,electro latino
120,deep funk ostentacao
121,canadian electronic
122,dutch edm
123,indie pop rap
124,norwegian pop
125,toronto rap
126,albanian hip hop
127,kosovan pop
128,eurodance
129,italo dance
130,permanent wave
131,indie pop
132,uk alternative pop
133,rap latina
134,adoracao
135,neo mellow
136,belgian edm
137,portuguese pop
138,social media pop
139,teen pop
140,album rock
141,art rock
142,classic rock
143,dance rock
144,protopunk
145,rock
146,urban contemporary
147,belo horizonte indie
148,talent show
149,liquid funk
150,uk funky
151,uk pop
152,swedish pop
153,sertanejo tradicional
154,reggae fusion
155,soca
156,electro
157,filter house
158,g funk
159,florida rap
160,rap feminino nacional
161,samba reggae
162,funk bh
163,spanish pop
164,boy band
165,art pop
166,chillwave
167,escape room
168,experimental pop
169,indie r&b
170,indietronica
171,boston hip hop
172,australian hip hop
173,trap latino
174,chicago house
175,comedy rap
176,funk melody
177,indie curitibano
178,rio grande do sul indie
179,reggaeton flow
180,mexican pop
181,deep tropical house
182,glitch
183,glitch hop
184,melodic metalcore
185,metalcore
186,post-screamo
187,screamo
188,trancecore
189,trance
190,trap soul
191,perreo
192,west coast rap
193,viral pop
194,ritmo kombina
195,video game music
196,uk dancehall
197,uk hip hop
198,r&b en espanol
199,viral trap
200,shimmer pop
201,shiver pop
202,vapor soul
203,vapor trap
