Source,Target,Type,Weight
1,2,Undirected,733
2,7,Undirected,714
3,2,Undirected,613
1,7,Undirected,586
3,7,Undirected,479
2,4,Undirected,477
3,1,Undirected,476
2,2,Undirected,446
4,7,Undirected,385
1,4,Undirected,385
5,2,Undirected,325
3,4,Undirected,311
1,1,Undirected,303
6,1,Undirected,299
6,2,Undirected,298
7,7,Undirected,290
5,1,Undirected,262
5,7,Undirected,251
8,6,Undirected,250
9,2,Undirected,224
6,7,Undirected,221
5,3,Undirected,214
3,3,Undirected,212
3,6,Undirected,209
6,6,Undirected,192
8,1,Undirected,188
5,4,Undirected,187
9,1,Undirected,167
9,7,Undirected,166
8,2,Undirected,165
6,4,Undirected,151
6,13,Undirected,141
6,24,Undirected,140
3,9,Undirected,130
8,7,Undirected,128
10,6,Undirected,120
4,4,Undirected,114
8,3,Undirected,114
11,2,Undirected,111
9,4,Undirected,106
12,2,Undirected,102
1,13,Undirected,101
8,24,Undirected,100
8,13,Undirected,99
11,1,Undirected,94
5,6,Undirected,94
8,4,Undirected,93
11,7,Undirected,90
12,1,Undirected,87
8,10,Undirected,86
13,2,Undirected,84
8,8,Undirected,81
1,14,Undirected,74
2,88,Undirected,73
12,7,Undirected,73
14,2,Undirected,72
15,6,Undirected,72
14,7,Undirected,71
5,9,Undirected,70
1,88,Undirected,70
16,6,Undirected,67
11,4,Undirected,64
11,3,Undirected,64
3,14,Undirected,64
12,3,Undirected,63
3,13,Undirected,62
10,13,Undirected,61
13,24,Undirected,61
5,5,Undirected,58
3,88,Undirected,57
5,8,Undirected,56
17,2,Undirected,55
13,7,Undirected,55
6,14,Undirected,54
7,88,Undirected,53
12,4,Undirected,52
10,24,Undirected,52
9,6,Undirected,51
14,4,Undirected,50
2,62,Undirected,49
2,19,Undirected,48
17,1,Undirected,48
6,88,Undirected,48
1,24,Undirected,46
18,2,Undirected,45
10,1,Undirected,44
8,16,Undirected,44
1,19,Undirected,43
19,7,Undirected,41
17,7,Undirected,41
18,1,Undirected,41
5,11,Undirected,40
20,2,Undirected,40
7,62,Undirected,40
21,2,Undirected,39
22,2,Undirected,38
4,88,Undirected,38
3,62,Undirected,37
20,1,Undirected,36
23,2,Undirected,36
1,62,Undirected,36
5,12,Undirected,36
6,49,Undirected,36
18,7,Undirected,36
8,14,Undirected,36
21,7,Undirected,35
13,4,Undirected,35
8,15,Undirected,35
15,24,Undirected,35
9,9,Undirected,34
24,24,Undirected,34
21,1,Undirected,33
20,3,Undirected,33
20,7,Undirected,33
25,2,Undirected,33
11,6,Undirected,33
22,1,Undirected,32
12,6,Undirected,32
16,1,Undirected,32
6,35,Undirected,31
10,2,Undirected,31
8,88,Undirected,31
22,7,Undirected,30
16,13,Undirected,30
10,15,Undirected,30
3,19,Undirected,29
4,19,Undirected,29
25,3,Undirected,29
3,17,Undirected,29
26,6,Undirected,29
2,24,Undirected,29
27,6,Undirected,29
18,3,Undirected,28
4,62,Undirected,28
16,2,Undirected,28
10,7,Undirected,28
22,3,Undirected,27
6,146,Undirected,27
7,24,Undirected,27
5,14,Undirected,26
28,1,Undirected,26
13,13,Undirected,26
22,4,Undirected,25
29,1,Undirected,25
29,2,Undirected,25
29,3,Undirected,25
8,9,Undirected,25
8,49,Undirected,25
23,7,Undirected,25
30,2,Undirected,25
21,4,Undirected,24
23,3,Undirected,24
23,6,Undirected,24
23,1,Undirected,24
5,13,Undirected,24
6,40,Undirected,24
28,2,Undirected,24
16,7,Undirected,24
21,3,Undirected,23
29,7,Undirected,23
8,12,Undirected,23
1,35,Undirected,23
1,49,Undirected,23
7,52,Undirected,23
15,13,Undirected,23
28,7,Undirected,23
31,2,Undirected,22
15,1,Undirected,22
26,1,Undirected,22
8,35,Undirected,22
1,52,Undirected,22
20,4,Undirected,22
30,1,Undirected,22
32,6,Undirected,22
33,1,Undirected,21
33,2,Undirected,21
3,34,Undirected,21
17,4,Undirected,21
15,2,Undirected,21
18,6,Undirected,21
10,4,Undirected,21
4,24,Undirected,21
3,28,Undirected,21
8,40,Undirected,21
34,1,Undirected,20
5,88,Undirected,20
35,2,Undirected,20
6,19,Undirected,20
6,52,Undirected,20
2,52,Undirected,20
8,146,Undirected,20
13,49,Undirected,20
27,24,Undirected,20
2,142,Undirected,19
36,2,Undirected,19
26,2,Undirected,19
2,49,Undirected,19
18,4,Undirected,19
8,11,Undirected,19
16,24,Undirected,19
10,3,Undirected,19
3,24,Undirected,19
16,4,Undirected,19
11,9,Undirected,18
5,18,Undirected,18
11,14,Undirected,18
29,4,Undirected,18
18,8,Undirected,18
17,6,Undirected,18
12,9,Undirected,18
10,10,Undirected,18
37,2,Undirected,17
25,7,Undirected,17
3,142,Undirected,17
3,31,Undirected,17
29,6,Undirected,17
8,26,Undirected,17
38,2,Undirected,17
10,146,Undirected,17
24,146,Undirected,17
30,7,Undirected,17
1,39,Undirected,17
39,2,Undirected,17
28,4,Undirected,17
22,6,Undirected,17
35,7,Undirected,17
32,8,Undirected,17
33,7,Undirected,16
37,1,Undirected,16
34,2,Undirected,16
9,13,Undirected,16
38,7,Undirected,16
25,6,Undirected,16
40,13,Undirected,16
6,238,Undirected,16
16,3,Undirected,16
26,7,Undirected,16
7,49,Undirected,16
40,24,Undirected,16
10,16,Undirected,16
7,142,Undirected,15
3,36,Undirected,15
3,38,Undirected,15
34,6,Undirected,15
34,7,Undirected,15
23,4,Undirected,15
14,88,Undirected,15
2,239,Undirected,15
25,1,Undirected,15
33,4,Undirected,14
9,17,Undirected,14
37,7,Undirected,14
5,17,Undirected,14
38,1,Undirected,14
3,52,Undirected,14
12,11,Undirected,14
3,30,Undirected,14
39,7,Undirected,14
5,19,Undirected,14
8,27,Undirected,14
10,27,Undirected,14
35,4,Undirected,14
28,6,Undirected,14
26,13,Undirected,13
14,14,Undirected,13
13,88,Undirected,13
32,13,Undirected,13
5,21,Undirected,13
8,17,Undirected,13
26,4,Undirected,13
4,49,Undirected,13
13,35,Undirected,13
10,88,Undirected,13
24,88,Undirected,13
14,24,Undirected,13
10,40,Undirected,13
6,39,Undirected,13
20,6,Undirected,12
5,22,Undirected,12
12,14,Undirected,12
23,8,Undirected,12
41,6,Undirected,12
42,2,Undirected,12
34,4,Undirected,12
43,2,Undirected,12
11,88,Undirected,12
8,52,Undirected,12
5,20,Undirected,12
12,13,Undirected,12
30,4,Undirected,12
24,238,Undirected,12
8,19,Undirected,12
8,22,Undirected,12
3,35,Undirected,12
10,14,Undirected,12
6,62,Undirected,12
6,71,Undirected,12
25,4,Undirected,11
23,5,Undirected,11
4,52,Undirected,11
18,9,Undirected,11
9,62,Undirected,11
3,239,Undirected,11
1,239,Undirected,11
7,239,Undirected,11
39,4,Undirected,11
5,62,Undirected,11
21,6,Undirected,11
44,6,Undirected,11
45,6,Undirected,11
3,26,Undirected,11
3,49,Undirected,11
3,39,Undirected,11
1,238,Undirected,11
46,6,Undirected,11
31,7,Undirected,11
15,27,Undirected,11
32,24,Undirected,11
5,33,Undirected,10
1,142,Undirected,10
47,6,Undirected,10
43,1,Undirected,10
43,7,Undirected,10
20,12,Undirected,10
5,29,Undirected,10
8,238,Undirected,10
10,238,Undirected,10
9,19,Undirected,10
48,6,Undirected,10
27,1,Undirected,10
16,15,Undirected,10
16,88,Undirected,10
49,88,Undirected,10
16,14,Undirected,10
12,88,Undirected,10
6,50,Undirected,10
50,2,Undirected,10
16,40,Undirected,10
36,7,Undirected,10
13,14,Undirected,10
51,2,Undirected,10
3,80,Undirected,10
51,1,Undirected,10
25,62,Undirected,9
22,11,Undirected,9
52,88,Undirected,9
14,52,Undirected,9
18,88,Undirected,9
4,239,Undirected,9
21,9,Undirected,9
33,3,Undirected,9
15,3,Undirected,9
53,6,Undirected,9
54,6,Undirected,9
55,6,Undirected,9
56,6,Undirected,9
1,50,Undirected,9
9,14,Undirected,9
2,237,Undirected,9
57,6,Undirected,9
5,10,Undirected,9
5,24,Undirected,9
46,24,Undirected,9
38,6,Undirected,9
8,71,Undirected,9
58,115,Undirected,9
8,39,Undirected,9
33,6,Undirected,9
1,146,Undirected,9
58,6,Undirected,9
59,7,Undirected,9
60,6,Undirected,9
18,10,Undirected,9
2,80,Undirected,9
15,7,Undirected,9
1,80,Undirected,9
3,51,Undirected,9
4,142,Undirected,8
18,29,Undirected,8
42,6,Undirected,8
47,2,Undirected,8
