ID,Label
1,pop rap
2,rap
3,hip hop
4,southern hip hop
5,atl hip hop
6,pop
7,trap
8,dance pop
9,melodic rap
10,edm
11,gangster rap
12,dirty south rap
13,post-teen pop
14,r&b
15,electropop
16,electro house
17,miami hip hop
18,canadian pop
19,toronto rap
20,chicago rap
21,canadian hip hop
22,detroit hip hop
23,alternative r&b
24,tropical house
25,east coast hip hop
26,house
27,indie poptimism
28,hip pop
29,conscious hip hop
30,memphis hip hop
31,neo soul
32,big room
33,atl trap
34,new orleans rap
35,progressive house
36,lgbtq+ hip hop
37,florida rap
38,philly rap
39,queens hip hop
40,pop edm
41,metropopolis
42,art pop
43,canadian contemporary r&b
44,moombahton
45,contemporary country
46,indietronica
47,dfw rap
48,indie pop rap
49,uk dance
50,pop rock
51,modern rock
52,trap soul
53,indie pop
54,country
55,country road
56,modern country rock
57,g funk
58,latin
59,cali rap
60,electronic trap
61,deep pop r&b
62,underground hip hop
63,modern alternative rock
64,norwegian pop
65,afro dancehall
66,afropop
67,azonto
68,pittsburgh rap
69,deep big room
70,country pop
71,progressive electro house
72,nz pop
73,nigerian hip hop
74,nigerian pop
75,danish pop
76,barbadian pop
77,neo mellow
78,dancehall
79,dutch house
80,rock
81,adult standards
82,complextro
83,nyc pop
84,dmv rap
85,uk contemporary r&b
86,deep tropical house
87,swedish pop
88,urban contemporary
89,german techno
90,etherpop
91,baton rouge rap
92,latin pop
93,reggaeton
94,indie electropop
95,brazilian edm
96,emo rap
97,downtempo
98,alternative hip hop
99,dutch pop
100,harlem hip hop
101,belgian edm
102,indie cafe pop
103,electro
104,easy listening
105,lounge
106,girl group
107,talent show
108,brostep
109,chicano rap
110,grime
111,indie r&b
112,modern reggae
113,latin hip hop
114,puerto rican pop
115,tropical
116,nyc rap
117,german dance
118,australian dance
119,deep house
120,australian pop
121,hardcore hip hop
122,bronx hip hop
123,swedish electropop
124,stomp pop
125,filter house
126,francoton
127,la pop
128,piano rock
129,dutch edm
130,canadian electronic
131,lovers rock
132,pop quebecois
133,london rap
134,bedroom pop
135,epicore
136,boy band
137,cubaton
138,melodic dubstep
139,permanent wave
140,candy pop
141,future house
142,vapor trap
143,alternative metal
144,nu metal
145,post-grunge
146,uk pop
147,bass trap
148,uk funky
149,new jersey rap
150,belgian dance
151,basshall
152,deep euro house
153,celtic
154,celtic punk
155,celtic rock
156,folk punk
157,irish folk
158,new wave pop
159,reggae
160,reggae fusion
161,pop nacional
162,mexican pop
163,reggaeton flow
164,colombian pop
165,social media pop
166,irish rock
167,electropowerpop
168,turntablism
169,acoustic pop
170,indiecoustica
171,gauze pop
172,meme rap
173,europop
174,gqom
175,lebanese pop
176,deep underground hip hop
177,danish electronic
178,baile pop
179,funk carioca
180,funk das antigas
181,pagode baiano
182,brooklyn indie
183,shimmer pop
184,ambient folk
185,british singer-songwriter
186,chamber pop
187,indie anthem-folk
188,indie folk
189,french pop
190,escape room
191,british soul
192,new jack swing
193,brill building pop
194,deep adult standards
195,aussietronica
196,melbourne bounce
197,australian electropop
198,australian indie
199,k-pop
200,k-pop boy group
201,shiver pop
202,new french touch
203,norwegian hip hop
204,indie soul
205,afro house
206,kwaito house
207,drill
208,album rock
209,art rock
210,classic rock
211,experimental rock
212,experimental
213,experimental pop
214,country dawn
215,rap metal
216,uk hip hop
217,scandipop
218,catstep
219,chicago indie
220,post-romantic era
221,soundtrack
222,trap latino
223,rap montrealais
224,bmore
225,ninja
226,old school hip hop
227,indonesian hip hop
228,canadian country
229,crunk
230,bboy
231,funk
232,instrumental funk
233,modern funk
234,deep pop edm
235,swedish tropical house
236,korean trap
237,west coast rap
238,viral pop
239,viral trap
240,trap queen
241,swing
242,vocal harmony group
243,vapor twitch
244,vapor soul
245,texas country
246,torch song
247,vocal jazz
248,trance
249,hollywood
250,uk dancehall
251,vapor pop
252,punk
253,melbourne bounce international
254,sky room
255,chillstep
256,filthstep
257,swedish synthpop
258,progressive trance
259,uplifting trance
260,folk rock
261,mellow gold
262,psychedelic rock
263,ukrainian classical
264,deep uplifting trance
