Source,Target,Type,Weight
1,1,Undirected,497
2,1,Undirected,352
3,1,Undirected,168
4,5,Undirected,148
5,5,Undirected,136
1,25,Undirected,129
5,12,Undirected,118
6,7,Undirected,99
5,17,Undirected,95
2,2,Undirected,87
7,24,Undirected,84
2,25,Undirected,82
1,20,Undirected,78
8,5,Undirected,78
9,1,Undirected,75
5,6,Undirected,75
7,7,Undirected,73
4,17,Undirected,72
1,19,Undirected,69
4,12,Undirected,69
4,8,Undirected,63
2,3,Undirected,58
3,19,Undirected,56
10,5,Undirected,56
11,7,Undirected,56
5,7,Undirected,54
4,4,Undirected,52
6,24,Undirected,48
12,17,Undirected,47
1,21,Undirected,42
8,17,Undirected,41
4,6,Undirected,40
8,12,Undirected,39
3,3,Undirected,37
13,7,Undirected,37
11,6,Undirected,37
6,6,Undirected,37
7,28,Undirected,37
5,101,Undirected,35
14,5,Undirected,34
2,19,Undirected,33
2,21,Undirected,28
5,49,Undirected,28
15,7,Undirected,28
10,17,Undirected,27
13,24,Undirected,26
4,49,Undirected,26
4,14,Undirected,26
16,35,Undirected,26
6,12,Undirected,26
4,10,Undirected,25
17,17,Undirected,25
16,5,Undirected,25
11,24,Undirected,25
5,35,Undirected,24
4,7,Undirected,24
12,12,Undirected,24
9,2,Undirected,23
18,5,Undirected,23
1,249,Undirected,22
19,19,Undirected,22
5,24,Undirected,22
13,6,Undirected,22
20,20,Undirected,22
9,9,Undirected,21
6,28,Undirected,21
21,25,Undirected,20
8,10,Undirected,20
10,12,Undirected,20
22,5,Undirected,20
23,4,Undirected,20
24,24,Undirected,20
4,101,Undirected,20
17,101,Undirected,20
25,25,Undirected,19
4,16,Undirected,19
4,35,Undirected,18
16,6,Undirected,17
4,22,Undirected,17
23,5,Undirected,17
14,17,Undirected,17
1,153,Undirected,17
26,7,Undirected,17
1,66,Undirected,17
1,35,Undirected,17
3,20,Undirected,17
8,101,Undirected,17
26,24,Undirected,16
6,35,Undirected,16
17,49,Undirected,16
14,12,Undirected,16
8,6,Undirected,16
3,25,Undirected,15
5,45,Undirected,15
12,49,Undirected,15
8,8,Undirected,15
27,1,Undirected,15
28,24,Undirected,15
11,5,Undirected,15
16,16,Undirected,15
6,101,Undirected,15
12,101,Undirected,15
1,53,Undirected,14
2,20,Undirected,14
8,14,Undirected,14
29,5,Undirected,14
30,1,Undirected,14
6,17,Undirected,14
16,7,Undirected,13
7,35,Undirected,13
10,10,Undirected,13
8,49,Undirected,13
23,17,Undirected,13
15,6,Undirected,13
31,1,Undirected,13
22,49,Undirected,12
23,8,Undirected,12
32,17,Undirected,12
4,24,Undirected,12
15,24,Undirected,12
11,13,Undirected,12
7,101,Undirected,12
12,7,Undirected,12
33,7,Undirected,11
34,7,Undirected,11
5,32,Undirected,11
8,16,Undirected,11
18,7,Undirected,11
35,35,Undirected,11
16,139,Undirected,11
5,62,Undirected,11
36,5,Undirected,11
13,5,Undirected,11
37,5,Undirected,11
1,250,Undirected,10
22,12,Undirected,10
22,17,Undirected,10
8,32,Undirected,10
4,32,Undirected,10
8,35,Undirected,10
26,6,Undirected,10
1,128,Undirected,10
6,45,Undirected,10
1,24,Undirected,10
35,139,Undirected,10
8,38,Undirected,10
38,17,Undirected,10
5,38,Undirected,10
18,17,Undirected,9
8,22,Undirected,9
13,28,Undirected,9
27,2,Undirected,9
11,11,Undirected,9
39,7,Undirected,9
18,4,Undirected,9
18,6,Undirected,9
40,7,Undirected,9
7,77,Undirected,9
1,7,Undirected,9
4,38,Undirected,9
41,5,Undirected,9
42,5,Undirected,9
16,12,Undirected,9
43,5,Undirected,9
44,1,Undirected,9
9,53,Undirected,8
20,249,Undirected,8
23,49,Undirected,8
14,49,Undirected,8
23,32,Undirected,8
15,13,Undirected,8
40,6,Undirected,8
45,7,Undirected,8
5,251,Undirected,8
1,211,Undirected,8
5,71,Undirected,8
5,28,Undirected,8
12,24,Undirected,8
5,252,Undirected,8
46,5,Undirected,8
12,35,Undirected,8
14,101,Undirected,8
31,3,Undirected,8
47,7,Undirected,8
16,93,Undirected,8
7,139,Undirected,8
3,249,Undirected,7
16,24,Undirected,7
35,24,Undirected,7
18,10,Undirected,7
23,12,Undirected,7
1,194,Undirected,7
15,11,Undirected,7
6,77,Undirected,7
48,1,Undirected,7
4,62,Undirected,7
7,167,Undirected,7
20,128,Undirected,7
49,101,Undirected,7
50,5,Undirected,7
5,93,Undirected,7
11,28,Undirected,7
51,5,Undirected,7
6,139,Undirected,7
52,24,Undirected,7
16,17,Undirected,7
5,139,Undirected,7
3,250,Undirected,6
53,53,Undirected,6
18,8,Undirected,6
10,54,Undirected,6
54,5,Undirected,6
55,49,Undirected,6
56,49,Undirected,6
49,253,Undirected,6
4,55,Undirected,6
4,56,Undirected,6
4,253,Undirected,6
55,5,Undirected,6
56,5,Undirected,6
5,253,Undirected,6
8,57,Undirected,6
57,17,Undirected,6
8,7,Undirected,6
5,58,Undirected,6
58,101,Undirected,6
59,7,Undirected,6
15,26,Undirected,6
26,28,Undirected,6
60,7,Undirected,6
14,251,Undirected,6
4,251,Undirected,6
61,5,Undirected,6
1,254,Undirected,6
1,6,Undirected,6
62,17,Undirected,6
63,5,Undirected,6
64,24,Undirected,6
24,101,Undirected,6
5,73,Undirected,6
10,6,Undirected,6
4,13,Undirected,6
12,45,Undirected,6
6,252,Undirected,6
65,5,Undirected,6
66,35,Undirected,6
16,66,Undirected,6
35,113,Undirected,6
35,93,Undirected,6
52,7,Undirected,6
1,140,Undirected,6
35,17,Undirected,6
5,145,Undirected,6
40,24,Undirected,6
67,16,Undirected,6
67,35,Undirected,6
67,93,Undirected,6
4,45,Undirected,5
23,22,Undirected,5
14,22,Undirected,5
23,10,Undirected,5
57,5,Undirected,5
8,24,Undirected,5
68,49,Undirected,5
15,28,Undirected,5
1,100,Undirected,5
39,6,Undirected,5
34,6,Undirected,5
29,10,Undirected,5
69,1,Undirected,5
1,248,Undirected,5
70,17,Undirected,5
4,71,Undirected,5
8,71,Undirected,5
71,17,Undirected,5
11,101,Undirected,5
13,101,Undirected,5
18,12,Undirected,5
4,72,Undirected,5
72,5,Undirected,5
72,17,Undirected,5
4,73,Undirected,5
17,73,Undirected,5
73,101,Undirected,5
65,6,Undirected,5
10,7,Undirected,5
74,7,Undirected,5
65,7,Undirected,5
12,28,Undirected,5
26,5,Undirected,5
66,5,Undirected,5
4,93,Undirected,5
22,101,Undirected,5
43,4,Undirected,5
43,6,Undirected,5
31,19,Undirected,5
7,252,Undirected,5
16,113,Undirected,5
16,90,Undirected,5
47,24,Undirected,5
31,20,Undirected,5
1,193,Undirected,5
43,7,Undirected,5
6,113,Undirected,5
4,75,Undirected,5
4,145,Undirected,5
75,5,Undirected,5
7,113,Undirected,5
5,186,Undirected,5
61,17,Undirected,5
14,38,Undirected,5
44,2,Undirected,5
76,5,Undirected,5
67,8,Undirected,5
67,17,Undirected,5
77,24,Undirected,5
8,45,Undirected,4
45,17,Undirected,4
49,49,Undirected,4
22,22,Undirected,4
23,57,Undirected,4
4,57,Undirected,4
10,32,Undirected,4
78,16,Undirected,4
78,35,Undirected,4
78,6,Undirected,4
78,7,Undirected,4
79,5,Undirected,4
79,101,Undirected,4
33,11,Undirected,4
33,6,Undirected,4
26,11,Undirected,4
40,4,Undirected,4
4,11,Undirected,4
40,5,Undirected,4
11,45,Undirected,4
39,13,Undirected,4
39,24,Undirected,4
34,11,Undirected,4
13,60,Undirected,4
4,61,Undirected,4
17,251,Undirected,4
80,4,Undirected,4
80,5,Undirected,4
4,122,Undirected,4
5,122,Undirected,4
81,14,Undirected,4
29,17,Undirected,4
1,13,Undirected,4
45,24,Undirected,4
82,5,Undirected,4
5,215,Undirected,4
7,215,Undirected,4
82,7,Undirected,4
4,70,Undirected,4
70,8,Undirected,4
8,62,Undirected,4
70,5,Undirected,4
83,5,Undirected,4
83,17,Undirected,4
84,7,Undirected,4
85,7,Undirected,4
86,7,Undirected,4
87,7,Undirected,4
88,5,Undirected,4
64,5,Undirected,4
64,6,Undirected,4
64,7,Undirected,4
12,251,Undirected,4
36,6,Undirected,4
72,101,Undirected,4
15,5,Undirected,4
