ID,Label
1,german hip hop
2,deep german hip hop
3,dance pop
4,pop
5,pop rap
6,german cloud rap
7,rap
8,edm
9,hip hop
10,electropop
11,latin
12,post-teen pop
13,albanian hip hop
14,trap
15,southern hip hop
16,electro house
17,atl hip hop
18,melodic rap
19,tropical house
20,reggaeton
21,latin hip hop
22,german pop
23,big room
24,house
25,german alternative rap
26,hamburg hip hop
27,r&b
28,australian pop
29,alternative r&b
30,australian dance
31,miami hip hop
32,canadian pop
33,moombahton
34,pop edm
35,bmore
36,ninja
37,progressive house
38,conscious hip hop
39,christlicher rap
40,dfw rap
41,deep big room
42,dirty south rap
43,contemporary country
44,chicago rap
45,gangster rap
46,trap latino
47,indie poptimism
48,german dance
49,hip pop
50,queens hip hop
51,progressive electro house
52,metropopolis
53,albanian pop
54,puerto rican pop
55,emo rap
56,canadian hip hop
57,reggaeton flow
58,french hip hop
59,detroit hip hop
60,latin pop
61,g funk
62,antideutsche
63,bayerischer rap
64,future house
65,uk dance
66,toronto rap
67,dancehall
68,crunk
69,memphis hip hop
70,basshall
71,modern rock
72,german underground rap
73,etherpop
74,country
75,country road
76,tropical
77,art pop
78,east coast hip hop
79,teen pop
80,dutch pop
81,norwegian pop
82,dutch house
83,belgian edm
84,pop rock
85,swedish pop
86,modern country rock
87,dmv rap
88,florida rap
89,indie r&b
90,candy pop
91,k-pop girl group
92,new orleans rap
93,electronic trap
94,deep house
95,latin viral pop
96,german indie
97,country pop
98,canadian contemporary r&b
99,brostep
100,francoton
101,indie pop rap
102,k-pop
103,neo mellow
104,funk carioca
105,dutch hip hop
106,dutch urban
107,complextro
108,german techno
109,social media pop
110,british soul
111,indietronica
112,bachata
113,atl trap
114,modern alternative rock
115,deep euro house
116,disco house
117,philly rap
118,barbadian pop
119,neo soul
120,downtempo
121,soul
122,outlaw country
123,rap latina
124,texas country
125,german rock
126,destroy techno
127,rock
128,lgbtq+ hip hop
129,girl group
130,nyc pop
131,la pop
132,reggae fusion
133,electro latino
134,deep pop r&b
135,indie anthem-folk
136,piano rock
137,europop
138,south african hip hop
139,french pop
140,indie electropop
141,uk contemporary r&b
142,baile pop
143,funk das antigas
144,k-pop boy group
145,uk funky
146,adult standards
147,hollywood
148,cali rap
149,easy listening
150,lounge
151,belgian dance
152,beach music
153,brill building pop
154,rock-and-roll
155,deep tech house
156,indie soul
157,new french touch
158,indiecoustica
159,nz pop
160,afro dancehall
161,afropop
162,azonto
163,canadian electronic
164,dutch edm
165,finnish pop
166,eurovision
167,spanish pop
168,pop argentino
169,uk alternative pop
170,underground hip hop
171,indie cafe pop
172,deep groove house
173,alternative hip hop
174,kosovan pop
175,chicago indie
176,funk
177,hardcore hip hop
178,birmingham grime
179,grime
180,instrumental grime
181,eurodance
182,italo dance
183,afrofuturism
184,escape room
185,permanent wave
186,alternative rock
187,broadway
188,movie tunes
189,australian hip hop
190,australian indie
191,filter house
192,pagode baiano
193,houston rap
194,russian hip hop
195,urban contemporary
196,pop urbaine
197,rap marseille
198,aussietronica
199,melbourne bounce
200,talent show
201,balkan hip hop
202,turbo folk
203,liquid funk
204,uk pop
205,trap soul
206,norwegian indie
207,album rock
208,art rock
209,classic rock
210,experimental rock
211,experimental
212,experimental pop
213,electronica
214,shiver pop
215,uk dancehall
216,uk drill
217,uk hip hop
218,arabic hip hop
219,boy band
220,deep tropical house
221,post-romantic era
222,soundtrack
223,nyc rap
224,german trap
225,chanson
226,french indie pop
227,french rock
228,pittsburgh rap
229,bubblegum pop
230,doo-wop
231,folk rock
232,motown
233,rhythm and blues
234,rockabilly
235,show tunes
236,oklahoma country
237,deep adult standards
238,chillwave
239,boston hip hop
240,deep pop edm
241,electric bass
242,jazz fusion
243,west coast rap
244,canadian country
245,country dawn
246,discofox
247,oktoberfest
248,partyschlager
249,scandipop
250,swedish electropop
251,sky room
252,comedy rap
253,mexican pop
254,glitch
255,glitch hop
256,melodic metalcore
257,metalcore
258,post-screamo
259,screamo
260,trancecore
261,trance
262,nigerian hip hop
263,nigerian pop
264,colombian pop
265,acoustic pop
266,ectofolk
267,lilith
268,viral pop
269,turkish hip hop
270,indie deutschrap
271,phonk
272,rap francais
273,vapor soul
274,schlager
275,german singer-songwriter
276,virgin islands reggae
277,rap conscient
278,vapor trap
279,video game music
280,vocal harmony group
281,rap algerien
282,rap tunisien
283,german reggae
284,stomp pop
285,trip hop
286,vocal house
287,rap ivoire
288,viral trap
289,jump up
290,mellow gold
291,psychedelic rock
292,swing
293,torch song
294,vocal jazz
295,rap maroc
296,ukrainian classical
297,nouvelle chanson francaise
298,shimmer pop
299,romanian pop
300,turkish trap
301,turkish trap pop
