Source ,Target,Type,Weight
2,3,Undirected,106046838.2
3,15,Undirected,104895305
4,3,Undirected,53856301.01
2,15,Undirected,66562200.67
7,6,Undirected,54050063.57
6,2,Undirected,105055988.7
4,2,Undirected,107063300.5
6,3,Undirected,55906963.37
3,3,Undirected,119762208.6
4,15,Undirected,100645552.5
1,5,Undirected,86030063.95
3,16,Undirected,109168794.7
6,6,Undirected,97913663.48
2,2,Undirected,117973323.7
7,2,Undirected,115727200.3
2,16,Undirected,97044044.11
4,6,Undirected,106721954.6
12,3,Undirected,55782000.38
6,15,Undirected,66067546.98
6,17,Undirected,111502454.2
6,36,Undirected,60439696.79
16,15,Undirected,58316709.91
7,3,Undirected,74862523.42
1,28,Undirected,50697315.17
12,2,Undirected,56837018.33
10,6,Undirected,14054992.75
4,16,Undirected,65295637.48
5,28,Undirected,66541194.68
15,15,Undirected,84204277.12
9,3,Undirected,62199672.98
1,1,Undirected,116317871
12,15,Undirected,111559660.3
7,36,Undirected,96891779.91
2,17,Undirected,106242564.4
6,16,Undirected,71482081.39
12,4,Undirected,61678727.07
7,17,Undirected,84110288.14
4,4,Undirected,130890299.7
7,15,Undirected,115670503.9
1,8,Undirected,49254852.51
7,10,Undirected,7782368.875
7,4,Undirected,60619390.72
9,2,Undirected,65228629.9
5,5,Undirected,47684998.33
7,7,Undirected,70606537.93
17,3,Undirected,76527244.9
1,13,Undirected,57648916.02
5,14,Undirected,55815353.6
1,14,Undirected,107296618
5,13,Undirected,73111322
8,5,Undirected,45846738.79
12,16,Undirected,120606938.8
9,15,Undirected,64908942.44
11,6,Undirected,66241281.67
10,17,Undirected,89253627
4,17,Undirected,50968732
12,6,Undirected,73764306.62
7,16,Undirected,80287251.86
17,36,Undirected,48197448.87
30,6,Undirected,39731070.7
4,9,Undirected,83560945.29
14,28,Undirected,11573065.08
17,15,Undirected,74940676.67
8,28,Undirected,113556540.4
2,36,Undirected,101645795.8
10,36,Undirected,120606938.8
10,2,Undirected,13693528.63
7,30,Undirected,39344223.88
13,28,Undirected,107808331.3
6,79,Undirected,67615481.71
3,255,Undirected,82745920.97
9,16,Undirected,54993399.68
9,6,Undirected,69187390.19
13,14,Undirected,155005033
2,255,Undirected,54400258.62
33,3,Undirected,134077794.4
47,3,Undirected,107296618
33,2,Undirected,120556623.3
1,20,Undirected,85576089.44
8,14,Undirected,43880862.64
32,2,Undirected,125725075.2
32,3,Undirected,88368770.77
39,2,Undirected,7066253.75
4,255,Undirected,58765614.18
12,7,Undirected,98325076.77
2,47,Undirected,50001841.8
12,9,Undirected,132040958.8
33,15,Undirected,39519826.32
6,255,Undirected,71529716.14
28,28,Undirected,104771794
4,47,Undirected,5867561
16,16,Undirected,169795789.3
35,6,Undirected,66403470.14
39,3,Undirected,64896467
7,79,Undirected,15035111.43
30,2,Undirected,55154016.48
6,168,Undirected,30648845.65
10,3,Undirected,98473639.57
7,11,Undirected,75956324.7
36,36,Undirected,7134307.286
20,5,Undirected,53326558.39
3,36,Undirected,16693545.86
17,16,Undirected,70921197.3
6,47,Undirected,70834113.1
11,36,Undirected,150127764.7
30,17,Undirected,55876526.67
8,13,Undirected,53183002.2
26,3,Undirected,89093201.56
30,3,Undirected,159397727.3
33,4,Undirected,121403664.6
47,15,Undirected,103461121.3
10,15,Undirected,49518555.86
15,36,Undirected,17104941.3
26,2,Undirected,15462297.22
12,12,Undirected,131703165.8
2,79,Undirected,51748995.39
15,255,Undirected,54175307.05
6,129,Undirected,81697632.42
32,15,Undirected,79713229.17
35,2,Undirected,60228111
39,4,Undirected,18179758.17
7,255,Undirected,16280730.79
1,6,Undirected,44788068.67
17,79,Undirected,44922278.86
7,168,Undirected,88593409
39,6,Undirected,56305869.6
10,11,Undirected,42317054.79
7,9,Undirected,47773300
2,168,Undirected,54683353.07
7,1,Undirected,94743108.44
30,15,Undirected,104164953.3
27,4,Undirected,147814648.2
7,47,Undirected,8675420.833
14,14,Undirected,51724299
17,17,Undirected,69108938.38
27,2,Undirected,90160603.18
7,35,Undirected,18941515.17
11,3,Undirected,75809583.5
39,15,Undirected,115591945.3
3,45,Undirected,89093201.56
47,16,Undirected,168620275.7
16,36,Undirected,32208571.15
44,6,Undirected,93732915.46
26,15,Undirected,54939201.75
58,3,Undirected,111938048.4
27,3,Undirected,84755293.06
11,2,Undirected,78121325
