Id,Label,modularity_class,Weighted Degree
latin,latin,1,2474
reggaeton,reggaeton,1,2096
pop rap,pop rap,2,1630
rap,rap,2,2354
trap,trap,2,1272
hip hop,hip hop,2,1103
tropical,tropical,1,867
trap latino,trap latino,1,853
pop,pop,3,2333
dance pop,dance pop,3,1273
reggaeton flow,reggaeton flow,1,836
post-teen pop,post-teen pop,3,916
latin hip hop,latin hip hop,1,602
tropical house,tropical house,3,666
southern hip hop,southern hip hop,2,540
underground hip hop,underground hip hop,2,477
melodic rap,melodic rap,2,554
edm,edm,3,616
electropop,electropop,3,405
atl hip hop,atl hip hop,2,430
trap argentino,trap argentino,1,236
panamanian pop,panamanian pop,1,186
latin pop,latin pop,1,238
colombian pop,colombian pop,1,194
german hip hop,german hip hop,4,160
r&b en espanol,r&b en espanol,1,160
vapor trap,vapor trap,2,215
nc hip hop,nc hip hop,2,189
atl trap,atl trap,2,168
puerto rican pop,puerto rican pop,1,174
uk pop,uk pop,3,275
miami hip hop,miami hip hop,2,181
conscious hip hop,conscious hip hop,2,178
electro house,electro house,3,215
uk dance,uk dance,3,180
deep german hip hop,deep german hip hop,4,55
gangster rap,gangster rap,2,124
r&b,r&b,2,194
canadian pop,canadian pop,2,192
cali rap,cali rap,2,144
rap latina,rap latina,1,132
pop reggaeton,pop reggaeton,1,109
house,house,3,146
canadian hip hop,canadian hip hop,2,149
trap soul,trap soul,2,152
baile pop,baile pop,1,117
funk carioca,funk carioca,1,135
dirty south rap,dirty south rap,2,118
toronto rap,toronto rap,2,136
dfw rap,dfw rap,2,142
moombahton,moombahton,3,95
queens hip hop,queens hip hop,2,121
big room,big room,3,170
argentine hip hop,argentine hip hop,1,83
alternative r&b,alternative r&b,3,111
bmore,bmore,3,70
ninja,ninja,3,70
urban contemporary,urban contemporary,2,121
sudanese pop,sudanese pop,2,71
contemporary country,contemporary country,3,63
italian hip hop,italian hip hop,5,69
perreo,perreo,1,77
emo rap,emo rap,2,93
chicago rap,chicago rap,2,136
hamburg hip hop,hamburg hip hop,4,32
australian pop,australian pop,3,39
trap italiana,trap italiana,5,30
modern rock,modern rock,3,60
italian underground hip hop,italian underground hip hop,5,21
electronic trap,electronic trap,2,88
indie poptimism,indie poptimism,3,76
progressive electro house,progressive electro house,3,91
detroit hip hop,detroit hip hop,2,54
australian dance,australian dance,3,30
swedish pop,swedish pop,3,61
philly rap,philly rap,2,44
brostep,brostep,3,70
rock,rock,2,57
progressive house,progressive house,3,50
funk das antigas,funk das antigas,1,64
pagode baiano,pagode baiano,1,62
pop nacional,pop nacional,1,26
pop edm,pop edm,3,77
disco house,disco house,3,34
filter house,filter house,3,34
vocal house,vocal house,3,34
bachata,bachata,1,28
