Source,Target,Count,Year,Weight
Quavo,Travis Scott,16,2017,25
Huncho Jack,Quavo,13,2017,20
Huncho Jack,Travis Scott,13,2017,20
21 Savage,Metro Boomin,12,2017,21
Metro Boomin,Offset,10,2017,15
Future,Young Thug,10,2017,15
Big Sean,Metro Boomin,8,2017,10
21 Savage,Offset,7,2017,10
A Boogie Wit da Hoodie,Kodak Black,6,2017,9
Chance the Rapper,Lil Wayne,4,2017,6
A$AP Mob,A$AP Rocky,4,2017,4
Frank Ocean,"Tyler, The Creator",4,2017,4
Chance the Rapper,DJ Khaled,4,2017,8
Chance the Rapper,Justin Bieber,4,2017,8
A$AP Rocky,Playboi Carti,4,2017,4
Chris Brown,Gucci Mane,3,2017,3
A Boogie Wit da Hoodie,PnB Rock,3,2017,3
Future,Ty Dolla $ign,3,2017,3
PnB Rock,YFN Lucci,3,2017,3
Khalid,Lorde,3,2017,3
Khalid,Post Malone,3,2017,3
Khalid,SZA,3,2017,3
Lorde,Post Malone,3,2017,3
Lorde,SZA,3,2017,3
Post Malone,SZA,3,2017,5
Calvin Harris,Pharrell Williams,3,2017,3
Calvin Harris,Travis Scott,3,2017,3
DJ Khaled,Travis Scott,3,2017,4
A$AP Mob,Playboi Carti,3,2017,3
Nicki Minaj,Yo Gotti,3,2017,4
Gucci Mane,Migos,3,2017,8
Metro Boomin,Travis Scott,3,2017,13
Lil Uzi Vert,Quavo,3,2017,3
2 Chainz,Drake,3,2017,4
Lil Wayne,Ty Dolla $ign,3,2017,5
Future,The Weeknd,3,2017,3
Metro Boomin,NAV,3,2017,3
2 Chainz,Travis Scott,3,2017,4
2 Chainz,Jhené Aiko,3,2017,4
2 Chainz,Trey Songz,3,2017,4
2 Chainz,Ty Dolla $ign,3,2017,4
Jhené Aiko,Trey Songz,3,2017,4
Jhené Aiko,Ty Dolla $ign,3,2017,4
Trey Songz,Ty Dolla $ign,3,2017,4
A$AP Rocky,Lana Del Rey,3,2017,3
Chance the Rapper,Quavo,3,2017,7
DJ Khaled,Justin Bieber,3,2017,7
DJ Khaled,Lil Wayne,3,2017,6
DJ Khaled,Quavo,3,2017,7
Justin Bieber,Lil Wayne,3,2017,4
Justin Bieber,Quavo,3,2017,7
Lil Wayne,Quavo,3,2017,4
Lil Uzi Vert,Playboi Carti,3,2017,6
2 Chainz,Big Sean,3,2017,6
DJ Khaled,Migos,2,2017,2
Camila Cabello,Quavo,2,2017,2
Drake,Young Thug,2,2017,2
Lil Yachty,Quavo,2,2017,4
Ty Dolla $ign,YG,2,2017,4
DJ Khaled,Drake,2,2017,2
PnB Rock,Wiz Khalifa,2,2017,2
Daft Punk,The Weeknd,2,2017,3
J Balvin,Willy William,2,2017,3
2 Chainz,Gucci Mane,2,2017,3
Gucci Mane,Young Dolph,2,2017,3
A$AP Rocky,Cardi B,2,2017,3
A$AP Rocky,G-Eazy,2,2017,3
Cardi B,G-Eazy,2,2017,3
Beyoncé,DJ Khaled,2,2017,3
Beyoncé,JAY-Z,2,2017,4
DJ Khaled,JAY-Z,2,2017,3
G-Eazy,Halsey,2,2017,3
Maren Morris,Thomas Rhett,2,2017,3
Future,Lil Uzi Vert,2,2017,2
Big Sean,Calvin Harris,2,2017,2
Big Sean,Katy Perry,2,2017,2
Big Sean,Pharrell Williams,2,2017,2
Calvin Harris,Katy Perry,2,2017,2
Katy Perry,Pharrell Williams,2,2017,2
Gucci Mane,Rae Sremmurd,2,2017,2
Calvin Harris,DJ Khaled,2,2017,2
Calvin Harris,Jeremih,2,2017,2
DJ Khaled,Jeremih,2,2017,3
Jeremih,Travis Scott,2,2017,2
G-Eazy,Zoe Nash,2,2017,2
A$AP Mob,A$AP Twelvyy,2,2017,2
Charlie Puth,G-Eazy,2,2017,3
Maroon 5,SZA,2,2017,3
Lil Wayne,Nicki Minaj,2,2017,5
A Boogie Wit da Hoodie,Chris Brown,2,2017,3
A Boogie Wit da Hoodie,Yo Gotti,2,2017,3
Chris Brown,Kodak Black,2,2017,3
Chris Brown,Yo Gotti,2,2017,3
Kodak Black,Yo Gotti,2,2017,3
Drake,WizKid,2,2017,4
21 Savage,Big Sean,2,2017,2
Offset,Travis Scott,2,2017,8
Brent Faiyaz,GoldLink,2,2017,3
Brent Faiyaz,Shy Glizzy,2,2017,3
GoldLink,Shy Glizzy,2,2017,3
Drake,PARTYNEXTDOOR,2,2017,3
Macklemore,Skylar Grey,2,2017,3
Kesha,The Dap-Kings Horns,2,2017,2
Drake,Gucci Mane,2,2017,2
Drake,Future,2,2017,2
Miguel,Travis Scott,2,2017,3
Lil Wayne,The-Dream,2,2017,2
The-Dream,Ty Dolla $ign,2,2017,2
A$AP Mob,KEY!,2,2017,2
A$AP Rocky,KEY!,2,2017,2
Jonas Blue,William Singe,2,2017,2
21 Savage,Future,2,2017,3
Ty Dolla $ign,Wiz Khalifa,2,2017,2
Kodak Black,PnB Rock,2,2017,2
2 Chainz,Migos,2,2017,3
2 Chainz,Young Thug,2,2017,3
Future,Kendrick Lamar,2,2017,3
Post Malone,Quavo,2,2017,4
Lil Uzi Vert,NAV,2,2017,4
Lil Yachty,Macklemore,2,2017,2
Fifth Harmony,Gucci Mane,2,2017,2
Gucci Mane,The Weeknd,2,2017,2
Beyoncé,Eminem,2,2017,2
A$AP Rocky,"Tyler, The Creator",2,2017,2
Calvin Harris,Future,2,2017,2
Calvin Harris,Khalid,2,2017,2
Future,Khalid,2,2017,2
Kygo,The Night Game,2,2017,2
Mike WiLL Made-It,Nicki Minaj,2,2017,2
Grey,Hailee Steinfeld,2,2017,2
Grey,Zedd,2,2017,5
Hailee Steinfeld,Zedd,2,2017,2
Chris Brown,Future,2,2017,2
Big Sean,Jeremih,2,2017,2
Big Sean,Travis Scott,2,2017,4
Jon Bellion,Vice,2,2017,2
A$AP Mob,Frank Ocean,2,2017,2
A$AP Mob,Lil Uzi Vert,2,2017,2
A$AP Mob,Quavo,2,2017,2
A$AP Rocky,Frank Ocean,2,2017,3
A$AP Rocky,Lil Uzi Vert,2,2017,2
A$AP Rocky,Quavo,2,2017,2
Frank Ocean,Lil Uzi Vert,2,2017,2
Frank Ocean,Playboi Carti,2,2017,2
Frank Ocean,Quavo,2,2017,2
Playboi Carti,Quavo,2,2017,2
Quality Control,Quavo,2,2017,4
Calvin Harris,Frank Ocean,2,2017,3
Calvin Harris,Migos,2,2017,3
Frank Ocean,Migos,2,2017,3
N.E.R.D,Rihanna,2,2017,5
Drake,Rihanna,2,2017,3
Drake,Giggs,2,2017,2
Offset,Quavo,2,2017,5
Drake,Lil Wayne,2,2017,2
French Montana,Swae Lee,2,2017,3
Lana Del Rey,The Weeknd,2,2017,2
Shawn Hook,Vanessa Hudgens,2,2017,2
2 Chainz,Quavo,2,2017,3
Rex Orange County,"Tyler, The Creator",2,2017,2
Halsey,Lauren Jauregui,2,2017,2
Lil Uzi Vert,Oh Wonder,2,2017,5
21 Savage,Post Malone,2,2017,7
Alesso,Florida Georgia Line,2,2017,4
Alesso,Hailee Steinfeld,2,2017,4
Alesso,watt,2,2017,4
Florida Georgia Line,Hailee Steinfeld,2,2017,4
Florida Georgia Line,watt,2,2017,4
Hailee Steinfeld,watt,2,2017,4
21 Savage,Migos,2,2017,3
Chris Brown,Meek Mill,2,2017,2
Chris Brown,Ty Dolla $ign,2,2017,2
Meek Mill,Ty Dolla $ign,2,2017,2
SZA,Travis Scott,2,2017,5
G-Eazy,Marc E. Bassy,2,2017,2
Emily Warren,The Chainsmokers,2,2017,4
Frank Ocean,Steve Lacy,2,2017,2
Steve Lacy,"Tyler, The Creator",2,2017,2
Lana Del Rey,Playboi Carti,2,2017,2
Daddy Yankee,Luis Fonsi,2,2017,4
Katy Perry,Nicki Minaj,2,2017,2
Kendrick Lamar,Maroon 5,1,2017,1
Hailee Steinfeld,Machine Gun Kelly,1,2017,1
