iter	MultiClass
0	1.027687896
1	0.9816144558
2	0.9499858835
3	0.9216555142
4	0.8955129329
5	0.8789536192
6	0.8659992746
7	0.8528095978
8	0.8427916702
9	0.8351612908
10	0.8306669095
11	0.8268408996
12	0.8197551882
13	0.8124703866
14	0.8078987005
15	0.8044711749
16	0.8027649435
17	0.7979423822
18	0.7944298624
19	0.791439091
20	0.788569054
21	0.7873111499
22	0.7846098214
23	0.7819770543
24	0.7797701807
25	0.7763423426
26	0.7748374584
27	0.7724509003
28	0.7693186146
29	0.7678991765
30	0.7632809777
31	0.7614586101
32	0.7596482554
33	0.7582348443
34	0.7552244166
35	0.7533405008
36	0.7518461907
37	0.750620857
38	0.7480008096
39	0.74705279
40	0.744821862
41	0.7436053283
42	0.7417291567
43	0.7396404303
44	0.7374560746
45	0.7363633632
46	0.7357683936
47	0.7339776191
48	0.7328386634
49	0.7309700084
50	0.7294571424
51	0.7282838074
52	0.7273538735
53	0.724736764
54	0.7228395058
55	0.7213257094
56	0.7201687841
57	0.7191109907
58	0.7184626044
59	0.7172254305
60	0.7152682636
61	0.7143990306
62	0.7131481711
63	0.7114319522
64	0.7104929505
65	0.7095304006
66	0.708441641
67	0.7075904413
68	0.7062388402
69	0.7054910541
70	0.7048146356
71	0.7039838278
72	0.7031492324
73	0.7020064442
74	0.7011555104
75	0.6993713254
76	0.6981146667
77	0.697267608
78	0.6947049609
79	0.6938316224
80	0.6922414993
81	0.6919087793
82	0.6914728796
83	0.6905683081
84	0.6897622394
85	0.6889100169
86	0.6878428299
87	0.6872480334
88	0.6852593666
89	0.6844724555
90	0.6832493551
91	0.6812954553
92	0.6806728762
93	0.6787743515
94	0.6780955038
95	0.6768134
96	0.6763520087
97	0.6752616692
98	0.6748716002
99	0.6738005687
100	0.6720363797
101	0.6712368854
102	0.6706836277
103	0.6698222275
104	0.6691505226
105	0.6675769607
106	0.6670156069
107	0.6664925663
108	0.665681801
109	0.66430782
110	0.6635302916
111	0.6630526538
112	0.6624906499
113	0.6621147912
114	0.6616062475
115	0.6613026552
116	0.6602722022
117	0.659839491
118	0.6588227004
119	0.6584068188
120	0.65729137
121	0.6568290697
122	0.6564076683
123	0.6562418879
124	0.6555502981
125	0.6547733658
126	0.6530485627
127	0.6515881944
128	0.6508305533
129	0.6502858005
130	0.6498480809
131	0.6492670014
132	0.6488634156
133	0.6478113341
134	0.6469677927
135	0.6460158427
136	0.6454645485
137	0.6431441062
138	0.6421158094
139	0.6410119739
140	0.6403000457
141	0.6391376507
142	0.6387341383
143	0.6385034497
144	0.6380002265
145	0.6374542582
146	0.6364037832
147	0.6359314206
148	0.6356662673
149	0.6347412383
150	0.6342581203
151	0.6340462395
152	0.6332498069
153	0.632416182
154	0.6318277267
155	0.630606198
156	0.6300188595
157	0.629379407
158	0.6288793911
159	0.6283357376
160	0.626867842
161	0.6259351087
162	0.6249902948
163	0.6247851847
164	0.6241443983
165	0.6236236483
166	0.6225067624
167	0.621939104
168	0.6212349021
169	0.6208800552
170	0.6202127731
171	0.619903818
172	0.6194851549
173	0.6191894224
174	0.6181382412
175	0.6175745785
176	0.6167221966
177	0.6159790614
178	0.6151644572
179	0.614605144
180	0.6142561696
181	0.6137190756
182	0.6133940854
183	0.6128286289
184	0.6115305721
185	0.6109367535
186	0.6107038531
187	0.6099085209
188	0.6095423652
189	0.6088958746
190	0.608585234
191	0.6081574413
192	0.6073020171
193	0.6066378232
194	0.605886919
195	0.6054361667
196	0.6050569092
197	0.6040725598
198	0.6038820991
199	0.6029154906
200	0.6024199296
201	0.6017608683
202	0.601454086
203	0.6007599864
204	0.6000101775
205	0.5994139954
206	0.599187791
207	0.5988283818
208	0.5982384762
209	0.597609038
210	0.5969090982
211	0.5963248051
212	0.5958958476
213	0.5953931848
214	0.5943091931
215	0.5939103308
216	0.5936320594
217	0.5930846489
218	0.5927388515
219	0.5923757729
220	0.5914202579
221	0.5906147971
222	0.5902444481
223	0.5897182803
224	0.5891632563
225	0.5887552189
226	0.5884772482
227	0.5877911402
228	0.5875000087
229	0.5867847712
230	0.5862190124
231	0.5859300709
232	0.5855041895
233	0.5848893692
234	0.5845901888
235	0.5840506486
236	0.5832743872
237	0.5826343618
238	0.5821628767
239	0.5815923354
240	0.5811974943
241	0.5804300597
242	0.5803394638
243	0.5793654177
244	0.5789646862
245	0.5783330041
246	0.578028315
247	0.5776850036
248	0.5770807213
249	0.576820944
250	0.5759542932
251	0.5754053093
252	0.5748059378
253	0.5741534711
254	0.5738780923
255	0.5735030261
256	0.5730441355
257	0.5726188636
258	0.5724098742
259	0.5719721294
260	0.5715386139
261	0.5711007373
262	0.5706542343
263	0.5701974688
264	0.5699744058
265	0.5697359398
266	0.5693171132
267	0.5690131704
268	0.5683295423
269	0.5678537556
270	0.567618092
271	0.5674461552
272	0.5669979773
273	0.5662158839
274	0.5660116951
275	0.5658208077
276	0.5655248172
277	0.5652897215
278	0.5651745196
279	0.5649246056
280	0.5647352098
281	0.5643971595
282	0.5640295747
283	0.5637521021
284	0.5632390246
285	0.5628324652
286	0.5622573718
287	0.5613850021
288	0.5611198381
289	0.5609831488
290	0.5606221291
291	0.5604128168
292	0.5598697133
293	0.5597118607
294	0.5589104213
295	0.5584926705
296	0.5578266139
297	0.5574052075
298	0.5570043166
299	0.5563811687
